Original Complaint,Tone Severity,Case Severity,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,De-escalated Complaint (Case Decreased),Tone Severity - Constant,Case Severity - Decreased,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,De-escalated Complaint (Tone Decreased),Tone Severity - Decreased,Case Severity - Constant,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
"I have a Bank of America Mastercard. Today, XX/XX/2023 our card was declined during a purchase for the 3rd time due to "" fraud protection ''. The purchase was for approximately {$22.00} and, again, our card was declined due to potential fraudulent activity. We live in XXXX and shop for groceries across the XXXX XXXX XXXX XXXX. We routinely shop at this store. Today I answered the call immediately and authorized the charge. Over half an hour later Bank Of America had not yet reactivated our card. I just spent over 45 minutes with customer service who could not transfer me to a manager. They can not explain why this is happening. We can not buy our groceries if our card is declined. We are humiliated when the card is declined for no reason. I want to see my contract so that I can take appropriate legal action and they will not send it to me.",1,1,,,,,,,,,,,,
"I used the Home Depot Credit card to make a purchase for my business in XXXX of 2023. In XXXX of 2023 my business tried to make a payment to this debt, and the check was sent back. My business Partner and I decided that I would make the payment from my own checking account and be reimbursed by the business. I made this payment in late XXXX after I was informed that the original payment was rejected. For some reason, This payment was applied to the wrong account. I called to fix this on XX/XX/XXXX and was assured that the {$200.00} payment that I made was applied to the write account. On XX/XX/XXXX I got another delinquent notice. I called on XX/XX/XXXX and was told that the money was transferred but not applied to the amount due. While on the phone I was assured that the payment would be applied to the amount due and my next due date would be XX/XX/XXXX. On XX/XX/XXXX I got notified that a delinquent notice was put on my credit report. I called again and Home Depot said that it would take five days to get the payment applied to the amount due. I asked that the delinquent notice be removed from my credit report. After many calls, someone finally said that they had put in a request to have the delinquent notice removed from my credit report but that it would take 14 days. Right now my credit rating is XXXX points lower and I have to wait 14 days for it to change. This is frustration and I want people to know about this practice at Home Depot Credit Services",1,2,,,,,,,,,,,,
"Bank of America bought a bad loan. No one wants resolve more than I do. I wish I could stop BofA from coming after me. What BofA is intending is designedto hurt me. I am seeking fair administration of this case. BofA needs to slow down and be patient and not move against me with ferocious intent. I can't negotiate anything with them until this case settles. A party who is forced into a contract under duress like I was, can rescind the contract rendering it null & void. At the mortgage closing I was crying and kept repeating "" this is the worst day of my life, over & over. '' It is the government 's right to protect the rights of US citizens. There is simply no recourse for those who don't have a significant retainer to have an attorney make this stop. Imagine losing everything that matters to you including your XXXX  child. 
A debt collector is seeking to seize my home. I should be allowed to seek damages and a jury trial. I have suffered irreparable injury. I am seeking forbearanceto stop a foreclosure & eviction. A broker dealer provided access to a home loan that would have otherwise been unavailable to me with no work or credit history. He was the prohibited third party to the mortgage agreement and guaranteed the mortgage loan. Against the rules, he participated in a private transaction while under direct supervision of the firm. He exercised 'client unavailable ' for 90 days while I was XXXX . He guaranteed the mortgage loan without ongoing responsibility, and locked me into a subprime mortgage loan with the escrow, the protection, removed when I had enough to pay for the mortgage in full with plenty to spare. He put the down paymentinto a margin account. I had no work or credit history, no credentials & no distinctions. 100 out of 343 holdings in my portfolio could not be identified by the Department of Business Regulation. The securities regulator had no idea what they actually were. 58 out of 60 exception notices went unanswered. When the account transferred to another brokerage after nearly 4 months with an open margin balance, the holdings in the margin account with the mortgage, were rejected by the receiving broker for credit violation, the account was placed in margin deficitand forced liquidation. 
I have suffered harm including economic loss, physical and mental injury, and emotional suffering. I am a victim of financial malfeasance and abuse of power. I should be treated with compassion & respect for my dignity. I am entitledto the mechanisms of justice and redress for the harms I have suffered. The third party responsible should make fair restitution for their behaviors, including return of funds, reimbursement, payment for the harms and loss suffered. I am a victim here. I have the right to restitution, and the right to be treatedwith respect and dignity. I have the right to be protected & the right to be heard. 
I can not be forced to leave the one safe place I have created in this world. self-advocacy means speaking up for one 's self and one 's interests. I am XXXX. I also suffer from XXXX XXXX XXXX XXXX XXXX XXXX. I am XXXX  in my daily living and must make adjustments to avoid exposure. I have created a safe, chemical-free living space and would not survive contaminants. Bank of America must take this seriously. I was going progressively XXXX in XXXX, and was treated by the XXXX of XXXX XXXX University who advised I would never see again. I suffer from progressively more XXXX XXXXXXXX XXXX XXXX to various consumer products. I need to be isolated from others and request BofA be mindful. Now that I have corrected the condition throughstrictvigilance, I can not risk going XXXX again. 
XXXX renders an individual vulnerable to be taken advantage of. I can demonstrate a pattern of harassment, defamation and abuse. I am seeking a diplomatic solution, Bank of America needs to stand down their intention and wait for justice to be served. I hope to protect my rights afforded to me by the US Constitution, to speak the truth and report the facts without fear of vicious and vindictive retribution of which most have no way to fight back. I am a victim of the subprime banking crisis and rising far right political forces. it should be prohibited to remove basic protections from me and punish me for something I did not do. I believe my rights have been violated and I requested an inquiry to make sure I receive justice, due process, fairness and respect and to receive restitution from the people who caused my losses and to be heard. I am seeking personal safety and seeing the perpetrators prosecuted for the ruin they caused. Fair housing is not an option, it's the law. it's up to the allergic person to ensure her own safety. 
XXXX  crimes area social problem because they directly marginalize and target specific people. In XXXX prior to the signing of the mortgage agreement I was XXXX  XXXX, harassed & robbed. I was ignorant of finance, which is not a crime. I had barely balanced a checkbook. I was on my own for the first time in my life & relied on a broker dealer to do the right thing by me. At that point I did not know who to trust. I had no professional certifications, designations, or credentials. I did not have an income or credit history. I had never worked. I inherited {$1.00} XXXX dollars. I never had money of my own before the intergenerational wealth transfer. I am old school, i pay by cash or check and use no credit or debit. I never had money and then I did. I don't think the broker dealer knew too much about the effect of what they were doing to me. If a system is in place to supervisory personnel looking for evidence of suitability and compliance violations which violate patterns and trends to manage suspicious activity what good is it if there is no one to follow through? Without follow up the control they are supposed to implement is rendered an ineffective method of exception reporting if no one does anything about it. 
I require financial support through court ordered restitution. My rights have been violated and I am entitled to certain rights according to federal law. I have the right to be protected from harm, the right to be treated equally under law, the right to non-discrimination, the right to a remedy, access to justice & due process rights. I am seeking personal safety and seeing the perpetrators prosecuted for the ruin they caused. I can not be forced to leave the one safe place I have created in this world. What Bank of America is intending is persecution designed to hurt me. BofA needs to slow down & be patient and not move against me with ferocious intent. I can't negotiate anything with BofA until this case settles. This is an urgent plea to protect the status quo. I will not allowBofA to destroy my life. I require a controlled green living space. My sensitivities raise a bouquet of legal issues and require accommodation. I am seeking forbearance to stop foreclosure & eviction. Bank of America needs to ensure my rights and put my safety first. BofA needs to slow down their intention and wait for justice to be served.",1,3,,,,,,,,,,,,
"I have called, chatted, and logged in myself to get Bank of America to STOP mailing me promotional offers. 

They will NOT stop!!!! 

Please get them to stop PLEASE!!",1,1,,,,,,,,,,,,
"Please see attachment. 

Citibank sold my account to XXXX XXXX XXXX XXXX XXXX on XX/XX/2022. I was offered to settle for a reduced amount, which I did. 

Citibank filed a cancellation of debt for XXXX  with the IRS. This account is settled and closed. 

It should not continue to be reported to XXXX, XXXX or XXXX. This has been resolved. Citibank has had information deleted in the past. I am simply asking for the same courtesy again.",1,2,,,,,,,,,,,,
I have a plan to pay the minimum balance due on a 24 month no interest Best Buy credit card. They continue to call me 3-4 times a day every day for the past 2 weeks.,1,1,,,,,,,,,,,,
"Opened debit card without knowledge
And also possible checking and saving acct",1,2,,,,,,,,,,,,
"This is a follow up in my initial complaint with chase. 
Complaint ID XXXX. 
My case closed awaiting letter from Chase.

Letter received from Chase Executive Office dated XX/XX/2023. 
With cc to CFPB.

Letter attached for reference.

Chase stating their plan of action which it to verify the check.

Its 6 months since then.

Id been patiently waiting for any response.

Again I have to call and follow up with Chase executive office and chase fraud department Neither can tell me any result. 

There is still No resolution. 

I am asking again for help from CFPB in this matter.

Chase responded with a an action letter. However, those were all just written words to keep CFPB on the side and kept me out of my funds while Chase is holding my funds this long.",1,3,,,,,,,,,,,,
"This relates to a Best Buy credit card operated by Citigroup. On XX/XX/, a payment of {$2300.00} was withdrawn via XXXX from my personal checking account to pay off that month 's credit card bill in full. An erroneous second withdrawal was made on the same day for the same amount ( {$2300.00} ). Essentially, the credit card bill ended up being paid twice : once on purpose, the second time by error. I believe it had to do with a scheduled auto-payment issue. After the second withdrawal, the amount owed on my Citigroup credit card was negative, meaning I had a credit for the amount overpaid ( {$2300.00} ). I contacted Citigroup by phone on or around XX/XX/XXXX requesting a refund for the second ACH withdrawal. The representative told me they would send a check. The check did not arrive, so I contacted them again on XX/XX/XXXX, and they told me to wait as the check might still be on its way. Finally on XX/XX/XXXX, with the check having never arrived at my address, I called again. I spoke with someone and asked them to ACH me a refund immediately. At this point, it had been nearly XXXX weeks since I was missing my {$2300.00}, and I had bills to pay. The representative told me they would cancel the check ( that never arrived ) and XXXX me the money. They informed me it would take XXXX business days for this to happen, which was an unacceptable amount of time to me, considering how long it had already been with Citigroup having my money. I asked to speak with a supervisor, XXXX, who told me the same thing. I escalated it further to XXXX who assured me it was unlikely to take that long and that she would put in a note to expedite/prioritize it. As of right now, XXXX XXXX XXXX I still have not received the XXXX. Logging on to the Best Buy credit card page, I see that on XX/XX/XXXX, there was a credit balance refund for the same amount ( {$2300.00} ), but I don't see that money in my account. This is causing me significant distress as I am having to shuffle money around to ensure I have the resources to pay my bills, going on a month since the original Citigroup error.",2,2,,,"Complaint Title: Unfortunate Two Payments Made for Credit Card Bill
To Whom It May Concern at Citigroup,
I am writing this letter to bring an issue to your attention regarding my most recent experience with the Best Buy credit card managed by your organization. In particular, I had two payments made against my credit card bill in the month of XX/XX; one on purpose and the second, due to a mistake, was made twice. I would like to express my disappointment at this incident, which has caused me significant inconvenience and stress as I attempt to make sure that my bills are paid on time.
On XX/XX/, a payment of $2300.00 was taken from my personal checking account via ACH to pay off my credit card bill in full for the month. Later that day, an erroneous second withdrawal of the same amount ($2300.00) was made, which resulted in my credit card balance being paid twice. I believe this error was caused by a scheduling issue with the auto-payment feature on my account.
I immediately contacted Citigroup via phone on XX/XX/XXXX to ask for a refund after discovering the second withdrawal. The representative informed me that they would issue a check, but it never arrived at my address. I called again on XX/XX/XXXX to inquire about the status of the refund and was told it might still be on its way. I expressed my concern over the delay and asked for an immediate ACH refund. The representative assured me that they would cancel the check and transfer the money immediately, which would take approximately XX business days.
It has now been nearly a month since I initially contacted Citigroup about this situation, and I still have not received the refund. Logging onto my Best Buy credit card account online, I noticed a credit balance refund for the same amount ($2300.00) on XX/XX/XXXX but still do not see that money in my account. This has forced me to juggle my finances to ensure I have enough funds to cover my bills, causing unnecessary stress and inconvenience.
I want to emphasize how unacceptable this delay has been for me, especially given the length of time it's already taken to resolve this issue. While I understand that mistakes can happen, it is essential to provide a solution promptly to minimize the impact on customers. 
Sincerely,
[Your Name]
Case/Event Severity = 1.0
Tone Severity = 2.0",2,1,,,"I am writing to express my frustration with Wells Fargo, specifically the customer service I received when trying to resolve an issue with an erroneous credit card payment. On XX/XX/, I noticed that two payments were made on my account, one of which was a duplicate payment for $2300.00. I immediately contacted Wells Fargo to request a refund and was told by the representative that they would send me a check. However, the check never arrived, and I had to follow up multiple times to get an update on the status of my refund. Despite being promised a quick resolution, it took nearly XXXX weeks for me to receive the refund. I was also assured by several representatives that my issue would be prioritized, but this did not happen. This experience has caused significant inconvenience and stress for me, as I had bills to pay and was unable to access my own money. Even when escalating the issue to a supervisor, I was given the same empty promises of quick resolutions. I am extremely disappointed in the level of service I received from Wells Fargo and would appreciate it if you could take action to address this issue.
Tone Severity: 2.0
Event Severity: 1.0",1,2,,
"I wanted to transfer a balance to my BOA credit card XXXX  using a balance transfer offer they sent me. It was for 11 months no interest with 3 % balance transfer fee. I called BOA to do the transfer and they said that if I opened a new BOA credit card XXXX, I could get 18 months no interest with 3 % balance transfer fee. I needed to make the transfer by XX/XX/XXXX. After opening XXXX, I learned that I had to wait 14 days before I could use it for bal. transfer, which would have been too late. I called BOA, but they said there was nothing they could do, so I told them I did not need the new XXXX because it was a higher interest rate than the 2 BOA credit cards I currently had. I told them to cancel XXXX, I would do the balance transfer on my XXXX. I went online and submitted my balance transfer using XXXX and checked on it a few days later. I found out that BOA canceled XXXX ( 18 % interest ) and kept open XXXX ( approx 21 % interest ). I called BOA customer service again and they heard the conversation where I said to cancel XXXX and keep open XXXX and said they would reinstate the card, so I could use it for the balance transfer before XX/XX/XXXX. It did not happen, so instead of getting 11 additional months to spread out paying for approx. {$3000.00}, I paid off the balance, but still believed that BOA was going to reinstate XXXX. I received a letter approx. XX/XX/XXXX from BOA ( dated XX/XX/XXXX ) saying "" We're sorry- we can't reopen your credit card ending in XXXX. ''",2,1,,,,,,,,,,,,
