,Original Complaint,Tone Severity,Case Severity,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
50,I had a bank account with bank of america savings as well as checking. Both had money in them totaling around {$500.00}. They decided to close my account and they issued checks. By the time I received the checks they were expired. I called to have the checks reissued which took me over 4 hours on the phone waiting on hold to only be transfered to 6 different departments to then get hung up on.,2.0,1.0,,,"Sure, here's an example of a complaint with a tone severity score of 2.0 and a case severity score of 2.0 based on your scenario:

To Whom It May Concern at Bank of America,

I am writing to express my extreme frustration and disappointment with the subpar service I received from your bank. Despite having a significant amount of money in both savings and checking accounts, you decided to close my account without providing any notice or explanation. To make matters worse, when I attempted to retrieve my funds via checks, they expired while I was waiting on hold for over 4 hours, only to be transferred to six different departments before being hung up on.

This is not only a mild issue that may have disrupted my service (case severity = 1.0), but it has had a significant impact on my overall experience with the bank (tone severity = 2.0). I expect better communication and customer service from a major financial institution like Bank of America. The inefficiency and lack of regard for your customers' time are unacceptable, especially when dealing with large sums of money.

I demand that you take immediate action to rectify this situation and prevent similar incidents from occurring in the future. I expect a prompt resolution to this issue, including reissuing the checks and providing me with a formal apology for the inconvenience and frustration caused. If I do not receive a satisfactory response, I will be forced to take my business elsewhere and seek legal action if necessary.

Sincerely,
[Your Name]",2.0,2.0,,,"Sure, here's an example of a complaint for the Bank of America:

Title: Unacceptable Customer Service Leads to Expired Checks and Wasted Time

Tone Severity: 2.0 (Somewhat Harsh)
Event Severity: 1.0 (Mild Issue)

To Whom It May Concern at Bank of America,

I am writing to express my extreme dissatisfaction with the unacceptable customer service I received from your bank. Despite having a total of $500 in both my savings and checking accounts, you decided to close them without notice or explanation. To make matters worse, the checks issued to me were expired by the time I received them, forcing me to spend over 4 hours on the phone waiting on hold and being transferred to 6 different departments before getting hung up on.

This is not only a mild issue (Event Severity = 1.0) but also a frustrating and time-consuming experience for me as a customer. I expect better service from a large commercial bank like Bank of America. The lack of communication, inefficiency, and unhelpful representatives have left a sour taste in my mouth and made me question whether I want to continue doing business with your institution.

I demand that you take immediate action to address these issues and provide me with the following:

1. A clear explanation for why my accounts were closed without notice.
2. New, valid checks issued to replace the expired ones.
3. Compensation for the time I wasted on the phone and the frustration caused by your representatives' unhelpfulness.
4. Guaranteed improvements in your customer service protocols to prevent similar situations from occurring in the future.

If these demands are not met, I will be forced to take my business elsewhere and leave negative reviews to warn others about the subpar service at Bank of America.

Sincerely,
[Your Name]",3.0,1.0,,
51,"In XX/XX/2023 I called to cancel my XXXX XXXX XXXX Credit card as it has a {$99.00} annual fee and I dont use it. They convinced me to take a lower card with no annual fee. I was told I would get a new card and dont pay the {$99.00}. I received my next statement with the {$99.00} annual fee. I was told again, do not pay it. I then started getting future statements with the {$99.00}, late fees and interest. I have spent 3 1/2 months calling and they credited almost all of it except for an interest balance of {$6.00}. I called the past 2 weeks and spent over 55 mins on each phone call, still not fixed. My problem has been transferred to supervisor etc, but Im getting no where. Every time I call Im told it will definitely be fixed in 5-7 business days. I receive daily phone calls ; emails and texts stating I have a past due credit card bill. Im at a loss and Im sure I will start getting late fees soon on this amount. The situation has actually become harassment as I receive notifications every day about this past due bill. I have excellent credit and dont need it ruined by something like this. I have several credit cards and I have never been through anything like this.",2.0,2.0,,,"Title: Unacceptable Customer Service and Unfair Charges - Case Severity = 3, Tone Severity = 2.0

Dear [Bank Name],

I am writing to express my extreme dissatisfaction with the unacceptable customer service I have received from your bank. My experience has been nothing short of harassment, and I demand immediate action to resolve this issue.

Background:
On XX/XX/2023, I called to cancel my XXXX XXXX XXXX Credit card due to the annual fee of {$99.00}. I was convinced to take a lower card with no annual fee, and I was told that I would not be charged the {$99.00} fee. However, I received my next statement with the {$99.00} annual fee, and I have been receiving constant statements, late fees, and interest charges ever since. Despite numerous calls to customer service, the issue has not been resolved, and I have spent over 55 minutes on each call.

Complaint:
I am extremely frustrated with the lack of care and attention to my issue. The constant transferring of my case to supervisors and endless promises of resolution within 5-7 business days have been nothing but empty promises. I have excellent credit and do not need it ruined by this unfair and unjustifiable treatment. I demand a full refund of all late fees, interest charges, and annual fee, as well as a formal apology for the inconvenience and distress caused.

Severity:
This issue has reached a severe level (Case Severity = 3.0) due to the following reasons:

1. Unfair and unwarranted charges: I did not authorize the annual fee, late fees, or interest charges, and I demand they be reversed immediately.
2. Lack of resolution: Despite numerous calls and promises, my issue has not been resolved, leaving me feeling ignored and disrespected.
3. Emotional distress: The constant harassment through notifications and phone calls has caused significant emotional distress, affecting my mental health and overall well-being.

Tone:
My tone is harsh (Tone Severity = 2.0) due to the following reasons:

1. Frustration and anger: I am fed up with the unacceptable service I have received and the lack of resolution to my issue.
2. Disbelief: I cannot believe that a reputable financial institution like yours can treat customers in such an unprofessional manner.
3. Urgency: I demand immediate action to resolve this issue, as the constant charges and notifications are causing significant emotional distress and jeopardizing my credit score.

In conclusion, I expect a prompt resolution to this issue, including a full refund of all unwarranted charges, an apology for the inconvenience and distress caused, and a change in your customer service policies to prevent similar incidents from occurring in the future. If not addressed, I will be forced to take legal action and seek justice through consumer protection agencies.

Sincerely,
[Your Name]",2.0,3.0,,,"Sure, here is a complaint letter to Wells Fargo based on the scenario provided:

To Whom It May Concern at Wells Fargo,

I am writing to express my extreme frustration and dissatisfaction with the unacceptable service I have received from your bank. On XX/XX/2023, I called to cancel my XXXX XXXX XXXX Credit card due to the excessive annual fee of {$99.00}. After being convinced to take a lower card with no annual fee, I was assured that I would not have to pay the initial fee. However, I continue to receive statements with this fee, and despite numerous calls and promises from your representatives, it has not been credited.

My patience has worn thin as I have spent over 55 minutes on each of the past two weeks calling Wells Fargo, only to be transferred to a supervisor or told that it will be fixed within 5-7 business days. Every day, I receive notifications about this outstanding credit card bill, causing me immense stress and anxiety. My excellent credit score is at risk of being ruined due to Wells Fargo's ineptitude, and the constant harassment through emails, texts, and phone calls has reached a level of harassment.

I have had several credit cards before, but never have I encountered such a persistent and unresolved issue. It is appalling that a renowned financial institution like Wells Fargo cannot competently handle basic customer service, let alone resolve a straightforward problem. The sheer volume of time and effort invested in resolving this issue is disproportionate to the initial mistake. I urge you to take immediate action to correct this unacceptable situation and restore my faith in your bank's capabilities.

Given the extensive nature of the problem, its severity score is set at 3.0, with a tone severity of 2.0, reflecting a frustrated and critical tone while still maintaining professionalism.

Sincerely,
[Your Name]",3.0,2.0,,
52,"I am closing out my business credit card through Wells Fargo and they will not honor my rewards points. I have attempted to redeem them and request product from their rewards website and they cancel my orders. They will not ship me anything they will not honor the rewards. They will not let me to cash out my rewards. They will not answer their phone calls. They will not answer emails anytime I do get connected through a phone call they have me on the phone for anywhere from 45 minutes to 2 hours and then call gets dropped or disconnected. Ive attempted for the last 20 days to handle this and they refuse to cooperate communicate and honor my rewards points that I have earned. I just want to redeem my points get the money and products that I deserved and close the accounts out. I will no longer do business with Wells Fargo ever again, but they should not be allowed to treat customers like this.",2.0,2.0,,,"Complaint Title: Unacceptable Treatment of Valued Customer - Closing Business Credit Card with Wells Fargo

Tone Severity: 2.0 (Moderately Harsh)
Event Severity: 3.0 (Severe)

To Whom It May Concern at Wells Fargo,

I am writing to express my utmost frustration and disappointment with the unacceptable treatment I have received during my attempt to close my business credit card with your bank. Despite my diligent efforts to redeem my earned rewards points and request product fulfillment, I have been met with blatant disregard for customer service and complete neglect of my legitimate requests.

It has been 20 days since I first initiated the process of closing my account, and throughout this time, I have encountered an array of issues that have left me feeling frustrated, ignored, and betrayed by Wells Fargo's supposed commitment to customer satisfaction. Here are the specific events that have led me to escalate this complaint to a severe event severity (3.0):

1. Unapproved Charges: Last month, I was charged $50 for an annual fee without my consent or prior notice. Despite numerous phone calls and emails, Wells Fargo refused to reverse the charge or provide any satisfactory explanations.
2. Contesting Transactions: My rewards points were denied for no apparent reason, leaving me with a rude awakening when I tried to redeem them for cash or products. When I inquired about this issue, Wells Fargo customer service representatives were unhelpful and dismissive of my concerns.
3. Money Loss: Due to the bank's negligence and lack of communication, I lost $500 in rewards points that I had accumulated over time. This is not only a significant monetary loss but also a breach of trust, as Wells Fargo failed to honor their commitments and deliver on their promises.
4. Lack of Communication: Throughout this ordeal, I have been met with an inordinate amount of silence from Wells Fargo's representatives. Phone calls go unanswered, emails are ignored, and any attempts at resolving the issue are met with a consistent pattern of dismissive responses.
5. Uncooperative Staff: Each time I have managed to connect with a customer service representative, they have been unwilling to provide clear solutions or proper guidance on how to proceed. The calls have lasted anywhere from 45 minutes to 2 hours, only for the line to drop or get disconnected without any resolution.

In light of these serious issues, I demand that Wells Fargo takes immediate action to address the following:

1. Honor My Rewards Points: I request that you redeem my accumulated points at their full value and provide me with the corresponding products or cash refund.
2. Refund Unapproved Charges: I demand a full refund of the $50 annual fee that was charged without my consent.
3. Resolve Contesting Transactions: Clearly explain why my rewards points were denied and provide me with a resolution to this issue, including any necessary corrections or adjustments to my account.
4. Communicate & Cooperate: Provide prompt and effective communication regarding the status of my requests and ensure that customer service representatives are well-equipped to address customer concerns in a timely and professional manner.
5. Enhance Customer Service Training: Implement additional training programs for Wells Fargo's customer service representatives to improve their interpersonal skills, communication strategies, and problem-solving abilities.

I hope that this escalated complaint will prompt Wells Fargo to take these issues seriously and provide the necessary solutions to restore my confidence in your banking services. However, if I do not receive a satisfactory response within the next 14 days, I will be forced to reconsider my financial relationships with Wells Fargo and seek alternative banking options that genuinely prioritize customer satisfaction and loyalty.

Sincerely,

[Your Name]",2.0,3.0,,,"Title: Unacceptable Treatment of Valued Customer - Wells Fargo's Blatant Disregard for Rewards Program

Tone Severity: 2.0 (Mildly Critical)
Event Severity: 3.0 (Severe)

To the Chief Executive Officer and Board of Directors at Wells Fargo,

I am writing to express my utmost disappointment and frustration with the unacceptable treatment I have received from your bank regarding my business credit card rewards program. After diligently accumulating points and earning rewards for years, I am appalled that Wells Fargo has consistently failed to honor my hard-earned rewards, leaving me feeling betrayed and disrespected.

For the past 20 days, I have attempted to redeem my rewards points and request products through Wells Fargo's website. To no avail, each attempt has resulted in canceled orders, unanswered phone calls, and lost time on hold for extended periods. The most recent incident left me connected to a representative for 2 hours only to have the call disconnected without any resolution or explanation. This flagrant disregard for customer service is unacceptable and speaks volumes about Wells Fargo's priorities.

I demand that Wells Fargo take immediate action to address this issue, honoring my rewards points and providing me with the products I have requested. As a valued customer who has consistently earned and redeemed rewards for years, I expect nothing but respectful treatment and full compensation for the inconvenience and frustration caused by Wells Fargo's ineptitude.

The constant dismissal of my concerns and failure to provide satisfactory resolutions has resulted in a severe impact on my overall experience with Wells Fargo. I will no longer tolerate such treatment from your bank and will promptly take my business elsewhere. However, I implore you to take responsibility for your actions and ensure that such failures are not repeated, lest you risk losing long-standing customers like myself.

In conclusion, I expect a swift resolution to this matter and immediate honor of my rewards points. I will be watching closely to see if Wells Fargo takes the necessary steps to regain my trust and faith in their banking services.

Sincerely,

[Your Name]",3.0,2.0,,
53,"I hope this message finds you well. I am writing to express my concern and seek immediate resolution regarding an unauthorized charge and the subsequent overdraft fee incurred on my account. 

On XX/XX/2023, I made a payment of {$140.00} to my account with XXXX XXXX XXXX. I promptly realized a mistake had been made and immediately contacted card services via the XXXX support line to request a cancellation of this charge. I was assured that the charge would be reversed. Consequently, I resubmitted the payment on the same day to my correct account at XXXX XXXX XXXX, which was successfully posted on XX/XX/2023. 

However, I was dismayed to discover that on XX/XX/2023, XXXX 's card services attempted to withdraw another {$140.00} from my now inactive account at XXXX XXXX XXXX. This attempt not only was unauthorized but also resulted in an overdraft fee of {$30.00} being debited from my account. 

Upon contacting XXXX 's card services, even after verifying the accuracy of the aforementioned transactions, I was informed that the charge on XX/XX/2023 ( which is not reflected on my account ) was authorized. I want to categorically state that this charge was not authorized by me and has resulted in financial damages amounting to {$30.00} at the time of lodging this complaint. 

Moreover, I am deeply concerned by the comments made by XXXX 's XXXX Services, indicating potential unauthorized attempts in the future. This raises significant security concerns and demands immediate attention. 

I kindly request the following actions to be taken : A thorough investigation into the unauthorized charge dated XX/XX/2023. 
Reversal of the {$30.00} overdraft fee incurred due to the unauthorized charge. 
XXXX that no future unauthorized attempts will be made on my account. 
A written confirmation detailing the resolution of these matters. 

Your immediate attention and swift resolution of this matter are crucial to maintaining the trust and confidence I have in your institution. I appreciate your understanding and cooperation in advance. 

Thank you for taking the time to address my concerns. I look forward to your prompt response and resolution of this matter. 

Sincerely, XXXX XXXX",2.0,2.0,,,"Sure, here's an example of a complaint letter that escalates the issue to a case severity of 3.0 and a tone severity of 2.0:

To Whom It May Concern at Wells Fargo,

I am writing to express my utmost frustration and dissatisfaction with the unacceptable service I have received from your bank. My experience has been nothing short of appalling, and I demand immediate action to rectify the situation.

On XX/XX/2023, I made a payment of {$140.00} to my account at Wells Fargo, only to realize that the transaction was unauthorized and resulted in an overdraft fee of {$30.00} being debited from my account. Despite my prompt communication to card services via the XXXX support line, I was told that the charge was authorized, which is a blatant lie.

What's worse is that your bank has shown no willingness to take responsibility for their mistakes. The service representative I spoke with was condescending and unhelpful, dismissing my concerns without offering any meaningful solutions. It's clear that Wells Fargo does not value its customers or prioritize their needs.

As a long-time customer of Wells Fargo, I have always been satisfied with the service provided until now. However, the incompetence and unprofessionalism displayed by your bank have left me feeling betrayed and disillusioned. The security of my financial information is of utmost importance, and it's alarming that Wells Fargo has failed to protect it.

I demand a thorough investigation into the unauthorized charge dated XX/XX/2023 and immediate action to rectify this situation. I expect the overdraft fee incurred due to the unauthorized charge to be reversed, and I want assurance that no future unauthorized attempts will be made on my account.

Furthermore, I expect a written confirmation detailing the resolution of these matters and an apology for the inconvenience and distress caused by Wells Fargo's inexcusable mistakes. If this matter is not resolved promptly and satisfactorily, I will have no choice but to take my business elsewhere and advise others to do the same.

I urge you to take my complaint seriously and act with the utmost urgency to address these issues. I expect a response within one week, detailing the actions Wells Fargo will take to resolve this matter in a satisfactory manner.

Sincerely,

XX XXXXX

Note: The tone severity of 2.0 and case severity of 3.0 have been assigned based on the escalated nature of the complaint and the potential impact on the customer's experience with Wells Fargo. A tone severity of 2.0 indicates a more forceful and urgent tone, while a case severity of 3.0 signifies that the issue has serious consequences for the customer and requires immediate attention from Wells Fargo.",2.0,3.0,,,"Sure, here is an example of a complaint that escalates the issue to a case severity of 3.0 and a tone severity of 2.0:

Title: Blatant Fraud and Deception by Wells Fargo - Immediate Resolution Required

Dear Wells Fargo Customer Service Team,

I am appalled and outraged at the blatant fraud and deception perpetrated by your bank. My recent experience with Wells Fargo has left me questioning the integrity of your institution, and I demand immediate resolution to this unacceptable situation.

Background:
On XX/XX/2023, I made a payment of {$140.00} to my account at Wells Fargo. However, I was informed that an unauthorized charge of {$140.00} was made on the same day, resulting in an overdraft fee of {$30.00} being debited from my account. Despite verifying the accuracy of the transactions with your card services, I was told that the charge was authorized by me. This is a blatant lie, and I have evidence to prove it.

Serious Concerns:
This incident raises significant security concerns, and I demand that Wells Fargo takes immediate action to address these issues. How can I trust your institution with my financial information when you cannot even protect me from blatant fraud? The attempts made on my account are alarming and warrant thorough investigation and action.

Requested Actions:
I request the following actions be taken immediately:

1. Thorough investigation into the unauthorized charges on my account, including the date, time, location, and party responsible for these attacks.
2. Reversal of the {$30.00} overdraft fee incurred due to the unauthorized charge.
3. Comprehensive steps to prevent any future unauthorized attempts on my account, including enhanced security measures such as additional layers of authentication or real-time monitoring.
4. A written confirmation detailing the resolution of these matters and assurance that no further attempts will be made on my account.

Conclusion:
I expect Wells Fargo to take these complaints seriously and provide immediate resolution to this situation. Your institution's reputation is at stake, and I will not hesitate to seek legal action if my demands are not met. I request a prompt response and resolution of this matter within the next 72 hours.

Sincerely,

XXXXX XXXXX

I hope this escalated complaint meets your needs. Let me know if there is anything else I can assist you with.",3.0,2.0,,
54,"I signed up for the Chase Bonvoy Marriott credit card XX/XX/2023. They were offering a sign on bonus. I was looking forward to getting the points for future stays at your hotels. If I charged {$3000.00} to the credit card in the first 90 days, they would give me XXXX certificates for free nights and one free night yearly. The Marriott credit card never arrived so I was not able to activate it or use it. They billed me {$95.00} for the annual fee immediately upon my signing up for the card and sent me a bill. It was not until I called them and asked where the card was, they informed me that my first bill was past due. I got them to send me a new card and started using it and immediately paid the {$95.00} bill. I charged {$3000.00} in the next XXXX months and waited for my Marriott bonuses to arrive in my Marriott Bonvoy Account. Unfortunately they never did. I then called your customer service and they said to call Chase. Chase said the {$95.00} did not count and therefore I was not eligible to get the sign up bonus as I was just under the {$3000.00} spend. I asked for a special exception as I was so close to the {$3000.00} and they said NO. So I asked for a refund of my {$95.00} and they said they couldn't give me that either. So I asked them to close my account since they did not provide me with the satisfaction and the performance of those terms according to the credit card agreement I then contacted Chase and after a few calls I was told I WOULD get my {$95.00}. After months of not receiving the refund back, I called several more times. The last time I called, I told them I felt like I was getting ghosted. They finally called me back on XXXX  and told me that they will not refund my {$95.00} because I did not close it according to their terms.. They record the calls and they claim the can not find the call of the representative that told me I would get my {$95.00} refund. Since Marriott is promoting this card in all their Marriott locations, I would like Marriott to be part of this compliant also. Both will not refund my {$95.00} which I am due because they did not give me what was agreed upon sign up for the card. Chase is very cutthroat with their customers when you have an issue with their credit card. When you complain they close your complaint out in XXXX days and make a determination in their favor. If you complaint to the XXXX about them. They just respond and say you can't get a refund based on their policy. A representative told me I would get a refund and now even though they record all calls they can not find that particular recording. I want my {$95.00} refund. Their policy not to refund a customer who did not get the satisfaction promised is deceitful and misleading. They do not want to give me what was promised to me a refund of my {$95.00}.",2.0,2.0,,,"Subject: Deceptive Practices and Breach of Contract by Chase Bank

Dear [Customer Service Manager],

I am writing this complaint as a result of my frustrating experience with Chase Bank, specifically regarding their Marriott Bonvoy credit card. I have had multiple interactions with their customer service representatives, and the level of unprofessionalism and misleading information I received is appalling. This complaint will be escalated to a case severity = 3.0 and a tone severity = 2.0 due to the severity of the issue and the harsh tone used in my correspondence with Chase Bank.

Background:
I signed up for the Chase Bonvoy Marriott credit card on [date] and was excited about the sign-on bonus and the potential rewards for future stays at Marriott hotels. However, I never received the card, and when I called to inquire, I was told that my first bill was past due, and I had to pay the annual fee before receiving the card. I paid the fee and waited for my Marriott bonuses to arrive, but they never did. Despite reaching out to Chase multiple times, I was denied a refund of the $95 annual fee because I did not close my account according to their terms.

Harsh Tone Severity = 2.0:
Chase's customer service is unacceptable and deceitful. They failed to provide me with the satisfaction promised in the credit card agreement, and now they are refusing to give me a refund for the annual fee. The representative who told me I would get a refund cannot be found on their recordings, which raises suspicions about their commitment to accuracy and customer satisfaction. Chase's policy of not refunding customers who did not close their account according to their terms is misleading and unethical. They have violated my trust and breached the contract by failing to deliver on their promised services.

Case Severity = 3.0:
This complaint should be considered a high-priority case due to the following reasons:

1. Consistent failure to provide satisfactory resolutions: Despite reaching out to Chase multiple times, I was not provided with any meaningful solutions or refunds for my annual fee. This pattern of behavior suggests a systemic issue within their customer service department that needs immediate attention.
2. Misleading and false information: Chase's representatives provided me with conflicting and inaccurate information regarding the status of my account, including the promise of a refund. Their failure to maintain consistency and accuracy in their communication exacerbates the situation and erodes trust in their brand.
3. Breach of contract: Chase's refusal to honor their contractual obligations by providing me with the promised refund is a clear breach of their agreement with customers. This violation of trust and failure to uphold their commitments warrants a high-priority case evaluation.

In conclusion, I request that you take immediate action to address these issues and provide a satisfactory resolution to my complaint. As a result of Chase's unacceptable behavior, I will be forced to reconsider my banking options and seek alternative financial services.

Sincerely,
[Your Name]",2.0,3.0,,,"Subject: Deceptive Practices and Lack of Customer Satisfaction with Chase Bonvoy Marriott Credit Card

Dear [Bank's Name] Complaint Department,

I am writing to express my extreme dissatisfaction with the service I have received from your bank, specifically regarding the Chase Bonvoy Marriott credit card. My experience has been plagued by misleading promises, unfulfilled agreements, and a blatant disregard for customer satisfaction. As a result, I am escalating my complaint to a case severity of 3.0 and a tone severity of 2.0.

Background:
I signed up for the Chase Bonvoy Marriott credit card on [date]. I was attracted by the sign-on bonus and the opportunity to earn points towards future stays at Marriott hotels. However, I never received the card, despite being charged an annual fee of $95.00 immediately after signing up. After numerous calls and wait times, I finally received a new card and started using it. I met the requirements for the sign-up bonus by charging $3,000.00 to the card within the first 90 days. However, I never received any bonuses or rewards in my Marriott Bonvoy account.

Complaint:
Chase's customer service has been unresponsive and unhelpful throughout this process. When I called to inquire about my missing bonuses, I was told that I had not met the minimum spending requirement of $3,000.00. Despite providing evidence of my purchases, Chase refused to grant me any exceptions or refunds. Their automated system even hung up on me after waiting for an extended period. The representative I spoke with claimed they could not locate the call recording of a specific representative who promised me a refund. This lack of accountability and transparency has left me feeling frustrated and betrayed.

Escalation:
I have tried contacting Marriott Bonvoy customer service directly, but they refer all concerns back to Chase. As a result, I feel that both parties are avoiding their responsibilities and leaving me with no recourse. The blatant disregard for customer satisfaction displayed by Chase's customer service team is unacceptable, particularly since they promote this card in Marriott locations.

Request:
I demand a full refund of the $95.00 annual fee that I was charged and have yet to receive any benefits for. Additionally, I request an investigation into Chase's customer service practices and a review of their policies regarding communication with customers. As a long-time customer of Chase and Marriott, I expect better treatment than this.

Sincerely,
[Your Name]",3.0,2.0,,
55,"Made a large check deposit and a hold was placed on check. Check cleared and bank closed account. Asked for a review and provided all documentation of money source and was denied a review after receiving all proof and documents. Spoke with numbers agents who gave different wrong amounts to me as the balance. Said the check was altered from the Department of Treasury, lied and said they were returning the funds to IRS then lied and said waiting for IRS to request funds back and different versions to what was the delay. I asked to have check returned and was denied even after submitted IRS documentation. The IRS says checked cleared and the money is there but bank refuses to give funds to me and closed account without valid reason and did not return ending balance in account. Now Im in danger of losing my business after 3 months of going back and forth and being provided wrong info from each bank representative",2.0,3.0,,,,,,,,,,,,
56,"I received a notice on XX/XX/2023 from XXXX XXXX that my account was going to be closed due to "" Unsatisfactory credit and/or derogatory public record references ''. But they didn't how they determined this. No credit bureau information was listed. 

I have credit scores from all XXXX companies in the high XXXX, and I have never paid a credit card or loan late, so this is a complete shock to me. I tried to call their number but they said I had to do it in writing. So I wrote them a letter. This week it was reported on my XXXX credit report that XXXX had closed my account. But they never bothered to get back to me. 

I got a notice today saying they needed to get in touch with me. So I called the number on the notice, but there was no way to talk to a human being. 

I don't care about my credit card since I don't really use it, but it really disturbs me that they are saying I have bad credit when I don't.",2.0,3.0,,,,,,,,,,,,
57,"Bank of America has charged me a {$12.00} monthly maintenance fee several times incorrectly. I have called in the past and have been able to rescind the fee. However, in XXXX of 2023 it happened again. I called XX/XX/2023 ( spoke with XXXX in Florida and XXXX in North Carolina, 2 bank of America employees ) and explained the fee was charged even though I maintained the daily minimum balance required by the bank to have the fee waived. This is evident in my bank statements. There was no follow-up action or call to my request and query. The fee has been charged once again this month ( XX/XX/2023 ) and I again am awaiting a call back from Bank of America to explain once again why the fee is being charged even though it is clear the conditions for a free checking account are being met.",2.0,2.0,,,"Sure, here's an example of a complaint letter to a large commercial bank with a tone severity score of 2.0 and a case/event severity score of 3.0:

[Your Name]
[Your Address]
[City, State ZIP Code]
[Email Address]
[Phone Number]
[Date]

[Bank Name]
[Bank Address]
[City, State ZIP Code]

Dear [Bank Representative],

I am writing to express my utmost frustration and disappointment with the repeated errors in charging me a monthly maintenance fee by Bank of America. Despite my numerous calls and requests to rescind this fee, it has continued to be charged to my account. The most recent occurrence happened on [date], where I was told by two different bank representatives in Florida and North Carolina that the fee would be waived, yet it was still charged to my account.

This is not only a mild inconvenience but has caused me significant financial hardship. I have maintained the daily minimum balance required by the bank to avoid this fee, as evident in my bank statements. It is unacceptable that despite my repeated explanations and requests, Bank of America has failed to take any action or follow up on their promise to waive this fee.

I demand that you take immediate action to address this issue and rectify the situation. I request a full investigation into why the fee was charged despite my compliance with the bank's conditions for a free checking account. I also expect a written apology and a guarantee that such errors will not occur in the future.

If this matter is not resolved promptly, I will be forced to seek legal action and report this incident to the Consumer Financial Protection Bureau. I have been a loyal customer of Bank of America for [length of time], and this blatant disregard for my financial well-being and trust in their services is unacceptable.

I expect a prompt response and resolution to this issue. Please acknowledge receipt of this letter within 5 business days and provide me with a detailed update on the actions being taken to address the situation.

Sincerely,

[Your Name]

Tone Severity Score: 2.0

Event/Case Severity Score: 3.0

Note: The above complaint letter is meant to escalate the issue and demonstrate a higher level of frustration and financial impact. Please keep in mind that the actual complaint you write should be tailored to your specific situation and circumstances.",2.0,3.0,,,"Sure, here's an example of a complaint letter for Bank of America with a tone severity score of 2.0 and a case severity score of 3.0:

[Your Name]
[Your Address]
[City, State ZIP Code]
[Email Address]
[Phone Number]
[Date]

Bank of America Customer Service
1000 Main Street
Charlotte, NC 28208-4765

Dear Bank of America,

I am writing to express my extreme frustration and dissatisfaction with the repeated incorrect charging of a $12.00 monthly maintenance fee on my checking account. Despite my numerous calls to your customer service department, this issue persists, and I have yet to receive any resolution or follow-up action from your representatives.

On [date], I called Bank of America to dispute the charge, as I had done previously in the past when the fee was incorrectly charged. However, the two representatives I spoke with in Florida and North Carolina were unhelpful and dismissive of my concerns. They failed to investigate the issue or provide any satisfactory explanation for why the fee continues to be charged despite my adherence to the bank's conditions for a free checking account.

As of today, [date], I have once again been charged the $12.00 maintenance fee, despite my diligent efforts to maintain the required minimum balance. This is unacceptable and completely defeats the purpose of having a free checking account. I urge you to take immediate action to rectify this situation and provide me with a satisfactory resolution.

I demand that Bank of America reviews its internal processes and systems to prevent such glaring errors from occurring in the future. It is imperative that your representatives are better equipped to handle customer complaints and provide consistent, effective solutions to resolve issues in a timely manner.

Until this matter is resolved, I will be forced to take my business elsewhere and seek alternative banking services. I hope it is clear that I am extremely dissatisfied with the subpar service I have received from Bank of America and the lack of attention given to my concerns.

Sincerely,

[Your Name]",3.0,2.0,,
58,"To Whom It May Concern, I am writing to report an incident of identity theft that has had a significant impact on my life. I believe that the following information constitutes a clear case of identity theft, and I request the Federal Trade Commission 's assistance in resolving this matter. On XX/XX/2023, I became aware of the unauthorized activities and financial transactions on my account from citicards cbna, which I believe to be a result of identity theft. I noticed unapproved credit account in my name, and suspicious monthly payments as well as a incorrect address I never resided in.",2.0,3.0,,,,,,,,,,,,
59,"On XX/XX/2023, I called Citi to report fraud on my credit card. They had sent me messages about potential charges which I was able to catch before they went through. I mentioned on this date by way of phone as well that although they caught most of the fraud charges HOWEVER XXXX total charges for {XXXX for "" XXXX XXXX XXXX XXXXXXXX XXXX  '' ( so XXXX total ) were pending. They said "" don't worry about it, it will drop off ''. On XX/XX/XXXX I called to let them know that these charges did NOT drop off but posted. They started a fraud dispute. 

On XX/XX/XXXX, Citi requested I sign XXXX sheets of paper which I sent back by way of email to XXXX on XX/XX/XXXX for the XXXX charges. See attached for the exact XXXX sheets of paper i sent back. ( This likely confused Citi because they stupidly asked for the same EXACT paper to be signed twice with the same exact dispute number which was XXXX, don't you think since it was XXXX transactions I would need to sign XXXX different pieces of paper with different numbers? ). 

On XX/XX/XXXX, I took a screenshot of the dispute portal because it switched to "" Thanks for sending us more info '' for XXXX fraud charge, while for the other fraud charge still stated "" We need more info ''. See screenshot XXXX! 

Thinking that was weird, that XXXX charge moved to "" Thanks for sending us more info '' and the other didn't, I resent the XXXX sheets of paper a XXXX time on XX/XX/XXXX. 

Today XX/XX/XXXX, I noticed that Citi reversed the fraud credit for XXXX fraudulent charges while issuing a credit for the other one. On XX/XX/XXXX I called with an attempt to get this resolved and was transferred at LEAST XXXX  times with no direct success. As of today there is still a reversed XXXX  bill on my XXXX  card ( the other credit for the other charge was successful ).",2.0,3.0,,,,,,,,,,,,
