Random Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2
I noticed my Chase account had been charged {$16.00} for an Amazon XXXX account for the last 17 months. I didnt notice initially cause I thought it was our Amazon account but my husband informed me that he pays for our Amazon account with his credit card not our debit account. I contacted Amazon for more information and found out it isnt our account at all but I was being charged for it. We checked if friends or family use the account but nothing. I contacted chase and let them know what I discovered. They made claims for all of the money that was taken fraudulently. They informed me today that they wouldnt be returning my money because it was over 60 days old. They would only return 3 payments. I would like the rest of the money that was stolen from my account ; {$220.00}.,2.0,2.0,"Dear Chase Customer Support,

I am writing this complaint because of my recent experience with your bank. Over the past 17 months, I have been charged $16.00 for an Amazon account that is not mine. My husband informed me that he pays for our Amazon account using his credit card, not our debit account. When I contacted Amazon for more information, I was told that it was not my account and that someone had been fraudulently using my personal information to make unauthorized charges.

I reached out to your bank and provided all the necessary documentation, but you have refused to return the stolen money. You claim that it is too late, even though I only discovered the fraudulent activity a few months ago. I find this to be an outrageous and unacceptable behavior on your part. The money that was taken from my account is not mine, and I demand that you return it immediately.

I am extremely disappointed with your bank's handling of this situation. Your failure to act promptly and fairly in this matter has caused me significant distress, and I will no longer do business with you. I urge all customers to be cautious when dealing with banks such as yours.

Tone severity: 2.0 (harsh and critical tone)
Case/event severity: 3.0 (severe issue that has a significant impact on the customer's overall experience with the bank)",2.0,3.0,,"I am writing to express my extreme frustration with the treatment I have received from Chase Bank after discovering fraudulent charges on my account. Over the past 17 months, I have been unknowingly charged $16.00 for an Amazon account that is not mine. This was a severe breach of trust and I expect better from a bank as large and reputable as Chase.

After contacting Amazon and discovering that the charges were not ours, I reached out to Chase to resolve the issue. Instead, they have been uncooperative and refuse to return the stolen funds, citing that it is too late. This is completely unacceptable and I demand that Chase return all of the money that was taken from my account, which totaled $220.00.

I understand that fraudulent charges can be a difficult issue to resolve, but I expect better from a bank as large and reputable as Chase. This has been a severe inconvenience and a loss of trust in the bank. I demand that this matter be resolved immediately and that I receive my stolen funds back.",3.0,2.0,
"Dear Sirs : I wish to bring your kind attention to the enclosed documents for my safety deposit boxes at Wells Fargo XXXX location, XXXX. 

I have been your long term customer for last XXXX  years. You can verify on top of both the safety deposit Boxes agreement, XXXX XXXX Manager of Wells Fargo signed stating that the boxes are given to us for free for life so long as we have our accounts with the Bank. 
We went through different store Managers, at this location, XXXX XXXX, XXXX and other XXXX, who have been reversing the box fees. The fee was first charged and then removed as per the explanation given to us by all previous managers ( an arrangement required for the banks paperwork sake ). 

I have been in communication with Wells Fargo business line of communication executive office and I am not getting anywhere and there is no understanding after producing proof of free boxes by your Manager.

I would really appreciate your offices help and getting this issue fixed asap and we should not be charged for these two safety boxes so long we bank with Wells Fargo.

Awaiting to hear from your office soon. Please make sure that the charges levied towards the boxes have been removed and hereafter we do not have to encounter any further issue in future with the new store managers at this location.

We have been your customer and we would like to continue doing business with your bank unless we are forced to leave due to poor customers service. 

Appreciate your taking valuable time in going through the documents. 

Thanking you, XXXX XXXX",2.0,2.0,"Dear Sirs:

I am writing to express my extreme frustration with the customer service at Wells Fargo for over three decades of patronage. I have been banking with your institution since 19XX, but in recent years, I have encountered a series of issues that have left me feeling disrespected and let down.

One such issue is the persistent reversal of fees charged on my safety deposit boxes. As per the signed agreement and multiple communications with your customer service representatives, the bank agreed to provide the boxes for free as long as we maintained our accounts. However, different store managers have continued to charge these fees, leaving me with no choice but to bring the matter to your attention again and again.

I have reached out to the business line of communication executive office multiple times, only to be met with a lack of understanding or concern for my concerns. Despite presenting them with proof of the agreement and the past practice of waiving fees, I continue to be charged without explanation or resolution.

This is not the only instance of poor customer service that I have experienced at Wells Fargo. In fact, there have been numerous occasions where I have had to contend with unapproved charges, denied transactions, and other issues that have left me feeling frustrated and disrespected.

As a long-time customer, I am entitled to expect better from an institution like Wells Fargo. Unfortunately, my experience over the past few years has left me questioning whether it is worth continuing to do business with your bank. If these issues continue to persist, I will have no choice but to take my business elsewhere.

I urge you to address these concerns promptly and appropriately. Your customers rely on your institution to provide reliable financial services and exceptional customer service. Please make it clear that my complaints are being taken seriously and a resolution will be forthcoming.

Thank you for your attention to this matter. I eagerly await a response from your office soon.",2.0,3.0,,"Dear Wells Fargo Management,

I am writing today in utter frustration over the outrageous treatment I have been receiving from the customer service representatives at the XXXX location regarding my safety deposit boxes. Despite being a loyal customer of your bank for over XXXX years, I have been constantly harassed and denied access to my boxes due to unauthorized fees that were charged without any prior notice or consent.

Your customer service agents have shown no remorse or understanding of the situation, and have even gone as far as to refuse to remove the charges levied on my safety deposit boxes. This is a clear violation of the agreement I signed with your bank, which states that my safety deposit boxes would be given to me for free, so long as I maintain an account with your institution.

I am extremely disappointed in the way your bank has treated me and am considering leaving your services altogether if this issue is not resolved promptly. Your lack of customer service and disregard for the rights of your clients are unacceptable and I demand that you take immediate action to rectify this situation.

I have attached the documents pertaining to my safety deposit boxes, as well as proof of the agreement signed by your manager at the XXXX location. Please review these documents and take the necessary steps to ensure that my safety deposit boxes are returned to me without any further fees or charges.

I await your response with great anticipation and hope that you will prioritize this issue and provide a satisfactory resolution. If not, I will have no choice but to explore other banking options that value their customers' trust and loyalty.

Sincerely,
[Your Name]",3.0,2.0,
"My Citibank savings account was made inactive. I was sent emails warning an account would be made inactive, but the number of the account did not match my savings account. I have been making deposits one to two times per month since opening the account XXXX years ago. My account was placed in inactive status on XX/XX/23. I called asking how to make it active and was told to send a letter to Texas. I sent the letter in XXXX but heard nothing. I called back and was told to send another letter. This time I sent it priority mail with tracking. It was delivered on XX/XX/23 but my account is still inactive. There are no Citibank locations within XXXX hours of me.",2.0,2.0,"Dear Sir/Madam,

I am writing to express my extreme frustration with Citibank for making my savings account inactive without any prior notice or warning. I have been making regular deposits into this account for over XXXX years, and it is unbelievable that the bank would simply deactivate my account without any explanation or reason given.

I received several emails warning me about an account being made inactive, but I did not receive any correspondence regarding my specific savings account. I called Citibank multiple times to understand the issue and was told to send a letter to Texas to request that my account be reinstated. However, even after sending the letter and following up with customer service, my account remains inactive.

The fact that there are no Citibank locations within XXXX hours of me only adds to my frustration. I am not able to visit a branch or speak to a representative in person, which makes it very difficult for me to resolve this issue.

This is an extremely harsh and critical tone with a case severity of 3.0 and a tone severity of 2.0. I demand that Citibank take immediate action to resolve this issue and reinstate my account without further delay.

Sincerely,
[Your Name]",2.0,3.0,,"Complaint:

I am writing to express my frustration with Citibank for inactivating my savings account without proper notice or explanation. Despite being a long-standing customer of over XXXX years, I have been unable to resolve this issue and it has caused significant inconvenience and distress.

The tone of Citibank's communication has been harsh and confrontational, with no apologies or explanations for the inactive status of my account. My attempts to rectify the situation, including sending letters and using priority mail with tracking, have been met with indifference and lack of resolve from customer service representatives.

I have taken Citibank's actions as a clear indication that they value my business and reputation less than other customers. The severity of this situation demands immediate action from Citibank to reinstate my account and provide appropriate compensation for the inconvenience caused.

I urge Citibank to take this matter seriously and resolve it promptly. I have been a loyal customer for many years, and I expect respectful and efficient service from a reputable bank. Please rectify this issue as soon as possible, or face significant legal action against my family's business.

Tone Severity: 2.5 (Extremely harsh and confrontational)
Case/Event Severity: 3.0 (Severe",3.0,2.0,
"I deposited a check for {$8700.00} on XX/XX/XXXX at an outdoor ATM at Wells Fargo Bank on XXXX XXXX in XXXX, Ca. 
At XXXX XXXX on XX/XX/XXXX, someone made unauthorized withdrawals using my debit card information including the pin. 
I called Wells Fargo XXXX XXXX right away and reported the fraudulent transactions. 
They canceled my debit card at that point and a new debit card has been reissued which I received on XX/XX/XXXX. 
A 10 day investigation has been opened on my account as of XX/XX/XXXX. 
Claim # XXXX The fraudulent transactions, totaling {$4900.00} were taken out of my checking account. As of today, XX/XX/XXXX, a provincial credit of {$4900.00} has been added to my account while the investigation continues. 
I filed a police report with the XXXX XXXX XXXX XXXX on XX/XX/XXXX. Claim # XXXX, with deputy XXXX XXXX XXXX 
I filed a claim with FTC on XX/XX/XXXX, claim # XXXX. 
Since filing the claim with Wells Fargo, I have called the claims XXXX XXXX times in the past week, asking for updates and providing what information that I know when asked. 
Today, there is a provincial credit of {$4900.00} on my checking account while the investigation continues. 
I have Unanswered questions to Wells Fargo : How can someone use my debit card without my pin? 
Why wasnt I notified when the fraudulent transactions began? 

We have been loyal and dedicated customers with Wells Fargo for over 25 years. Never once has a situation like this occurred. 

I appreciate any assistance you can offer. 

Thank you, XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Ca XXXX XXXX",2.0,3.0,,,,,,,,
"We switched our Home Mortgage Insurance provider from Homeowners of XXXX to XXXX back in XXXX. The Homeowners of XXXX issued us a check for {$3500.00} which I cashed and on XX/XX/23 put via local Wells Fargo branch to our escrow account as additional escrow ( we have a receipt ). Then I checked and could find the above amount on my account, so I wrote a letter to Wells Fargo Home Mortgage with my concern. In their response they confirmed that the additional escrow amount was received in XXXX, went to unapplied funds first but on XX/XX/XXXX was credited to our escrow account. However, in XXXX we received the XXXX Account XXXX dated XX/XX/23 with notification our escrow account has a shortage of pretty much the same amount, and we need to pay it as additional escrow ( again?! ) or they will split it over or monthly mortgage payments. I called their Customer Service immediately to talk to their loan officers, but they were unable to clarify anything just saying like "" we can not understand what happened to the amount we received ''. We suspect our fund mismanagement if not fraud and it is very hard to deal with Wells Fargo nowadays- they put all services on the phone, it is hard to get a paper trail, every time new person responds ( same with letters ).",2.0,3.0,,,,,,,,
"Dear Sir/Madam, I hope this letter finds you well. I am writing to formally dispute a late payment entry on my credit report, specifically pertaining to my credit card account with the details mentioned below : Account Name : BANK OF AMERICA Account Number : XXXX Account Type : Credit card Responsibility : Individual Date Opened : XX/XX/XXXX Status : Paid, Closed Status Updated : XX/XX/XXXX Balance : N/A Balance Updated : N/A Recent Payment : N/A Monthly Payment : N/A Credit Limit : {$6500.00} Highest Balance : {$7000.00} Terms : N/A Payment History : XXXX : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Current / Terms met : 30 Past due 30 days : XXXX Payment history guide : 30 days past due as of XX/XX/XXXX Balance Histories : XX/XX/XXXX : {$33.00} Scheduled Payment : {$33.00} Paid : {$0.00} on XX/XX/XXXX Additional info : As of XX/XX/XXXX, your credit limit/high balance was {$6500.00} Contact Info : Address : XXXX XXXX XXXX, XXXX XXXX TX XXXX Phone Number : ( XXXX ) XXXX I wish to bring your attention to a 30-day past due notation from XX/XX/XXXX, which I believe has been inaccurately reported on my credit profile. I want to emphasize that I have made full payment towards this credit card account, and I possess the necessary evidence to support this fact. 

According to the provisions outlined in 15 U.S. Code 1637 - Open end consumer credit plans ( C ) Payments at local branches. 
If the creditor, in the case of a credit card account referred to in subparagraph ( A ), is a financial institution which maintains branches or offices at which payments on any such account are accepted from the obligor in person, the date on which the obligor makes a payment on the account at such branch or office shall be considered to be the date on which the payment is made for purposes of determining whether a late fee or charge may be imposed due to the failure of the obligor to make payment on or before the due date for such payment.

To substantiate my claim of full payment, I am prepared to provide documented proof, which includes a copy of the payment made at the Bank of America branch, as well as any other necessary documentation that demonstrates the complete repayment of my debt. Additionally, I possess video evidence of the transaction that took place at the bank branch.",2.0,2.0,"Dear Sir/Madam,

I am extremely disappointed with the way my Bank of America account has been handled. In March, I made a payment at the bank branch in person, as evidenced by the video I have provided. However, despite this, I was mistakenly reported as 30 days past due on my credit report. This has caused immense stress and damage to my credit score, and I cannot believe that Bank of America would make such a careless mistake.

I have tried to rectify the issue numerous times, but I have been met with nothing but frustration. When I called customer service, I was passed around to several different representatives who claimed to not have any knowledge of my account. This only added to my stress and made me feel as though my concerns were being ignored.

I demand that Bank of America immediately correct the error on my credit report and provide a clear explanation for what happened. I cannot believe that such a large and reputable bank would make such a careless mistake, and I will not rest until this issue is resolved.

Tone severity = 2.0
Event severity = 3.0",2.0,3.0,,"Dear Sir/Madam,

I am writing to express my extreme frustration with the mistreatment I have received from Bank of America in regards to my credit card account. It is unbelievable that despite providing clear evidence of full payment, a 30-day past due notation has been incorrectly reported on my credit profile. This has caused significant damage to my credit score and overall financial stability, and it is time for Bank of America to take responsibility for their actions.

As a loyal customer of Bank of America, I have always trusted this bank with my financial needs. However, my recent experience with your customer service team has left me feeling betrayed and disappointed. The representative I spoke with was unprofessional and dismissive of my concerns, refusing to acknowledge the evidence I presented and instead insisting that I pay a late fee for the supposedly past-due payment.

This is completely unacceptable, as it goes against the clear provisions outlined in 15 U.S. Code 1637. According to these provisions, if the creditor is a financial institution like Bank of America and maintains branches where payments on an account can be made in person, then the date on which the payment is made at the branch should be considered the date of payment for determining whether a late fee or charge may be imposed. In this case, I made the payment at a Bank of America branch, and the evidence clearly shows that I paid on time.

I demand that Bank of America rectify this error immediately and remove the false 30-day past due notation from my credit report. Furthermore, I demand compensation for the financial damages caused by this mistake. If Bank of America fails to address this issue promptly, I will be forced to take legal action against your bank.

This is not just an isolated incident - it is a pattern of mistreatment towards loyal customers who have been wronged by Bank of America's incompetent and unresponsive customer service team. It is time for Bank of America to take responsibility for their actions and make amends for the harm they have caused their customers.

Sincerely,
[Your Name]",3.0,2.0,
"On XX/XX/2023, I submitted a payment of {$640.00} from a checking account ending in [ ask if needed ] which had XXXX XXXXXXXX on it to Citi Bank to pay my balance and keep my account funded. After a few days, I recognized a Return Check Fee. Confused to why that would be I would call Citi Bank for the first time on XX/XX/XXXX inquiring about the fee and why. The person on the phone did not explain the fee after I constantly asked why and I asked to get it waived which they agreed to do, I just had to wait until my statement posted on XX/XX/XXXX. Waiting until XX/XX/XXXX I would call Citi again as I noticed that another returned check fee appeared again. This agent wasnt informed on what it was either and once again said that when my statement is posted, they will reverse it and my account will be reflected to show the proper balance. So I wait until the next day where I receive an email saying a Replacement Payment is required. So I call Citi to ask about that as well as with an agent on the phone saying my account is fine all I have to do is make a payment. I used my account Ive been using with Citi to make payments to make a payment of {$680.00} which XXXX XXXX confirmed on a call I had with them minutes prior that they see the payment and it will be released, everything is all set. Hours later, I check my Citi account is closed with no notification after being strung along for a week and lied to before the account was randomly closed after taking a {$680.00} payment from me verbally after going through their verification process on each call. 

I reached out to Citi Executive Response Unit to explain the situation and they made a case to investigate it under the case number [ ask if needed ]",2.0,2.0,"Dear Citi Bank,

I am writing to express my extreme frustration with the recent treatment I have received from your customer service representatives. On XX/XX/XXXX, I submitted a payment of {$640.00} from a checking account ending in [ask if needed] which had XXXX XXXXXXXX on it to Citi Bank to pay my balance and keep my account funded. However, after a few days, I recognized a Return Check Fee and contacted your customer service team for clarification on the fee and why it was applied to my account.

Unfortunately, the representatives were uninformed about the fee and could not provide me with an explanation. I asked them to waive the fee, but they agreed to do so only after I waited until my statement posted on XX/XX/XXXX. This process repeated several times, with me constantly contacting your customer service team to inquire about the status of my account and the reversal of the returned check fees.

However, despite my efforts, my account was closed without any prior notification on XX/XX/XXXX, after I made a payment of {$680.00} which XXXX XXXX confirmed on a call minutes prior that they saw the payment and it would be released. I had been using this account for years and had never experienced any issues before.

I am outraged that your customer service team could not provide me with clear information and failed to resolve the issue promptly, leading to the unjustified closure of my account. This has caused significant financial strain for me and has damaged my trust in Citi Bank. I request that you take immediate action to reinstate my account and investigate the matter thoroughly.

I have escalated this case under the case number [ask if needed] and expect a prompt resolution from your executive response team.

Sincerely,
[Your Name]",2.0,3.0,,"Dear Citi Bank,

I am writing to express my extreme frustration and disappointment with the recent experience I had with your customer service team. On XX/XX/XXXX, I submitted a payment of {$640.00} from a checking account ending in [ask if needed] which had XXXX XXXXXXXX on it to Citi Bank to pay my balance and keep my account funded. However, instead of receiving confirmation that the payment was successful, I was informed that a Return Check Fee has been charged on my account.

I called Citi Bank multiple times inquiring about this fee and why it had been applied to my account. On each occasion, I was met with unhelpful and uninformed customer service representatives who were unable to provide me with any clear explanation for the fee or any information on how to have it waived. Despite my repeated requests, they continuously refused to take action on the matter.

It was only after waiting for several days and receiving another Return Check Fee notification that I managed to get through to a representative who informed me that the fee would be reversed once my statement posted. However, this information turned out to be false as well, and I was again left in the dark about the status of my account.

It wasn't until I reached out to Citi Bank's Executive Response Unit that any progress was made on my case. They opened an investigation under the case number [ask if needed] and finally provided me with some answers about what had happened. However, it was too late - my account had already been randomly closed without any prior notice or warning.

I have been a loyal customer of Citi Bank for many years, and this experience has left me feeling betrayed and frustrated. The lack of transparency, communication, and accountability from your customer service team is unacceptable, and I demand that you take immediate action to rectify this situation. I am currently seeking legal advice and considering taking further action against Citi Bank for the damages caused to my account.

Sincerely,
[Your Name]",3.0,2.0,
"I had a claim in my favor n the letter said I was to get the credit of XXXX XXXX never credited the account. They told me I had received the credit on the past. 
Which was I had a credit of XXXX but shortly after they debited out of the account $ XXXX, the amount of the claim that was just resolved. So they owe me the credits. The customer service representative even said she sees what I saying they did give me the credit bit then took XXXX back so that would mean they would have to credit the XXXX back. Nothing has been credited after se real escalations",2.0,2.0,"Title: Lack of transparency and accountability in credit card disputes

Dear Customer Service Team,

I am writing today to express my extreme frustration with the handling of my recent credit card dispute. Despite my repeated attempts to resolve the issue, I have been met with numerous obstacles and inconsistencies from your team.

Firstly, when I received a letter stating that my claim had been approved, I was excited to see a credit of XXXX XXXX appear in my account. However, this happiness was quickly dissipated when I noticed that the amount of the claim, XXXX, had been debited from my account shortly after. This led me to realize that I had not received the full credit for my dispute and that I needed to escalate the issue further.

Despite my attempts to reach out and speak with a representative, I was repeatedly transferred between departments without receiving any resolution. It took numerous calls and emails before I was finally able to speak with someone who could help me understand the situation.

To make matters worse, the representative I spoke with seemed to have little knowledge or understanding of my case. They were unable to provide me with a clear explanation of why my credit had been reversed or when it would be corrected. Instead, they told me that I needed to wait for a creditor to submit a correction request.

This lack of transparency and accountability is unacceptable. As a long-time customer of your bank, I expect that you will handle my dispute fairly and efficiently. Unfortunately, I have not received the level of service that I deserve.

I demand that this issue be resolved immediately. I want to see the XXXX credit restored to my account and for someone from your team to reach out to me within the next 24 hours to provide a detailed explanation of what happened and how it will be corrected.

If I do not receive a satisfactory response, I will have no choice but to escalate this matter further. This includes taking legal action against your bank and filing a complaint with relevant regulatory bodies.

Tone Severity: 3.0 (Extremely harsh and confrontational)

Event Severity: 2.0 (Moderately significant, as the credit card dispute has caused financial inconvenience and frustration to the customer)",2.0,3.0,,"Dear Wells Fargo,

I am writing this complaint to express my extreme frustration with the bank's recent handling of my claim. I received a letter stating that I was to receive a credit of XXXX XXXX for a successful claim. However, despite numerous attempts at customer service, I have not yet received the credit to my account.

To make matters worse, shortly after receiving the letter, they debited out of my account the exact amount of the claim that had just been resolved. This means that they owe me the credits and have taken them back, leaving me without any resolution to my issue. The customer service representative I spoke with even confirmed my credit but then took XXXX back, which is unacceptable and inexcusable.

I am not only disappointed in the bank's handling of this situation, but also the lack of accountability and transparency that has been displayed. I demand immediate action to resolve this issue and restore the credit that I have been owed. I will no longer do business with Wells Fargo until this matter is fully resolved to my satisfaction.

Tone Severity: 2.0
Event Severity: 3.0",3.0,2.0,
"On XX/XX/2023, I deposited {$4000.00} cash ( XXXX dollar bills ) into the ATM at Bank of America in XXXX, Fl on XXXX XXXX. When the transaction was complete, it showed a total deposit amount of {$2000.00}. I called the customer service number immediately and started a claim while parked at the ATM. The claim was started 1 min after the failed transaction. The lady told me it would take 10 business days to get the dispute taken care of. After 10 days I called to check the status of the claim. The customer service agent said there wasnt any changes to the claim yet but to wait to get a response on the XXXX of XXXX. I called today and the customer service agent said the case was closed and they didnt find any extra cash in the ATM, therefore denying me the missing {$2000.00}. I asked for details they found on the camera and she was not able to verify what the verification process was. She stated that sometimes they cant tell by looking at the camera. They also claimed they didnt find any extra cash while auditing. She did open a new claim to see if Bank of America will reconsider the case. No financial relief was offered and no detailed reason as to why the cash was not accounted for. This is not the first time this has happened with this bank/ location. Last time it was resolved within a weeks time but declining it this time is unacceptable.",2.0,2.0,"Dear Bank of America,

I am writing this complaint as a customer who has had a terrible experience with your bank. On XX/XX/2023, I deposited $4,000 cash into the ATM at Bank of America in XXXX, FL on XXXX XXXX. When the transaction was complete, it showed a total deposit amount of $2,000 instead of the actual $4,000 that I deposited.

I immediately called the customer service number and started a claim while parked at the ATM. The claim was started one minute after the failed transaction. I was told it would take 10 business days to resolve the issue. After 10 days, I called to check the status of the claim and was told there were no changes yet but to wait for a response on XX/XX/2023.

I called today and was told the case had been closed, and they did not find any extra cash in the ATM, therefore denying me the missing $2,000. I asked for details of what the verification process was, but the customer service agent could not verify it. They claimed that sometimes they cannot tell by looking at the camera.

This is not the first time this has happened with this bank/location. Last time it was resolved within a week's time, but declining it this time is unacceptable. I demand that you take immediate action and return the missing $2,000 to my account. This incident has shaken my trust in your bank, and I will be taking my business elsewhere.

Tone Severity: 3

Event Severity: 3",2.0,3.0,,"Dear Bank of America,

I am writing this complaint after having a terrible experience with your ATM location in XXXX, Fl on XXXX XXXX. On XX/XX/2023, I deposited {$4000.00} cash (XXXX dollar bills) into the ATM and was shocked to see that the total deposit amount showed as only {$2000.00}. I immediately called your customer service number and started a claim while parked at the ATM. Despite my prompt action, it took over 10 business days for you to resolve the issue.

When I finally checked the status of the claim, I was told that there were no changes yet and to wait for a response on the XXXX of XXXX. However, when I called today, I was informed that the case had been closed without any resolution or compensation for the missing {$2000.00}. Your customer service agent was unable to provide me with any details regarding the verification process used by your team and claimed that sometimes they cannot tell by looking at the camera.

This is not the first time I have experienced issues with Bank of America, and it is unacceptable to decline my claim without providing any financial relief or detailed explanation for why the cash was not accounted for. Your inability to resolve this issue quickly and efficiently has caused me significant inconvenience and frustration, and I demand that you take immediate action to rectify this situation.

I give this complaint a tone severity of 2.0 and an event severity of 3.0. The tone is harsh and critical due to the customer's negative experience with the bank. The event severity is high because the missing {$2000.00} has had a significant impact on the customer's financial situation, and the lack of resolution and compensation adds to their frustration and dissatisfaction with the bank.",3.0,2.0,
"I have a wells Fargo business and personal checking account. I called at XXXX XXXX central time and was talking to a female. I wanted to know if i deposit a foreign currency check into my Wells Fargo then what will happen? how the currency conversion happens? How much time it will take for money to come to my account? How to do that? 

This female was not at all in a mood to do the work? 
When she was wasting my time and i tried to have a focussed discussion she threatened me to hang the call. I simply asked her the question in a different manner. But still this female pretended that she is not able to hear me- we were on the phone call for almost XXXX minutes ( some wait time and going thru the menu initially ). Then she hang up the phone on me.",2.0,2.0,"Title: Abusive Customer Service Experience with Wells Fargo Bank

Tone Severity: 2.0 (Harsh)
Case Severity: 3.0 (Severe)

Dear Wells Fargo Customer Support Team,

I am writing to express my extreme disappointment and frustration with the recent customer service experience I had with one of your representatives. This incident has been so upsetting that it has left me considering switching banks for a more professional and respectful service provider.

On [date], at approximately [time], I called your customer support team inquiring about depositing a foreign currency check into my Wells Fargo business and personal checking account. From the very beginning of my call, I was met with unprofessionalism and a lack of interest from the female representative. Despite my attempts to have a focused discussion and ask specific questions related to my inquiry, she displayed an attitude of disinterest and even threatened to end our conversation.

I was on hold for almost [time] minutes, which is not acceptable, especially when I was simply asking about a routine banking matter. The representative's unprofessionalism left me feeling frustrated and disrespected, and I feel like my time and efforts were wasted trying to get straight answers from her.

I ask that you take immediate action to address this situation and ensure that your customer service representatives are properly trained and equipped with the necessary knowledge to assist customers in a respectful and professional manner. This incident has left me questioning whether Wells Fargo is truly committed to providing excellent customer service, and I urge you to take steps to improve this aspect of your business.

Sincerely,

[Your Name]",2.0,3.0,,"Subject: Abrupt Termination of Banking Service Despite Clear Request for Assistance

Dear Wells Fargo Customer Service Team,

I am writing to express my extreme dissatisfaction with the recent experience I had when contacting your customer service department on XXXX XXXXXXXXXXXXX time central. My intent was to get some guidance on how to deposit a foreign currency check into both my business and personal checking accounts.

From the start, the representative, who was a female, displayed an uncooperative and dismissive attitude, without being willing to provide any helpful information or clarification. When I attempted to focus the conversation and ask specific questions, she threatened to hang up the call. Despite my repeated attempts to engage in a constructive dialogue and clarify my queries, she continued to behave in an abrupt manner, and we were on the phone call for almost XXXX minutes (including waiting time and navigating through the menu initially).

The lack of empathy, willingness to assist, and the threat to hang up the call were unacceptable and left me feeling extremely disappointed with your bank. As a long-term customer, I have always expected a high level of professionalism and support from your team. Unfortunately, my experience with this representative did not meet my expectations, and I feel compelled to escalate this case severity = 3.0 and tone severity = 2.0.

I demand that you take immediate action to address the issue and prevent similar incidents in the future. I urge you to provide me with a prompt response and resolution to this matter, as it not only affects my personal experience but also damages the reputation of your bank.

Sincerely,
[Your Name]",3.0,2.0,
