Original Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
I had a bank account with bank of america savings as well as checking. Both had money in them totaling around {$500.00}. They decided to close my account and they issued checks. By the time I received the checks they were expired. I called to have the checks reissued which took me over 4 hours on the phone waiting on hold to only be transfered to 6 different departments to then get hung up on.,2.0,1.0,"I was shocked and disappointed when Bank of America closed my savings and checking account without any prior notification. The checks they issued were expired, making it impossible for me to use the money I had in those accounts. After spending over four hours on hold waiting for customer service representatives to assist me, I was transferred to six different departments before finally being hung up on without a resolution. This experience has left me feeling frustrated and taken advantage of by this bank. As a valued customer, I expect better service and communication from my bank. I demand that Bank of America reopen my accounts and issue new checks immediately, and provide me with an explanation for why my accounts were closed without my consent. Additionally, I demand compensation for the inconvenience and financial losses caused by this incident. It is time for Bank of America to take responsibility for their actions and treat their customers with respect and fairness.",2.0,2.0,,"Dear Bank of America,

I am writing today to express my extreme frustration with the recent experience I had with your savings and checking accounts. On [insert date], you decided to close my account without any prior notice or explanation. This was a severe violation of my trust in your bank and left me stranded with no access to my money.

To make matters worse, you issued expired checks that could not be redeemed, leaving me with no way to pay for my bills or other expenses. I spent over 4 hours on the phone trying to resolve this issue, but was transferred to six different departments before finally being hung up on without any resolution. This was an unacceptable waste of my time and energy.

As a long-time customer of Bank of America, I expect better from you. This experience has made me question my decision to continue doing business with your bank and I will be looking for alternative options in the future. I demand that you take immediate action to resolve this issue and prevent similar incidents from happening in the future.

Sincerely,

[Your Name]",3.0,1.0,,2.0,3.0,2.0,3.0,2.0,3.0
"In XX/XX/2023 I called to cancel my XXXX XXXX XXXX Credit card as it has a {$99.00} annual fee and I dont use it. They convinced me to take a lower card with no annual fee. I was told I would get a new card and dont pay the {$99.00}. I received my next statement with the {$99.00} annual fee. I was told again, do not pay it. I then started getting future statements with the {$99.00}, late fees and interest. I have spent 3 1/2 months calling and they credited almost all of it except for an interest balance of {$6.00}. I called the past 2 weeks and spent over 55 mins on each phone call, still not fixed. My problem has been transferred to supervisor etc, but Im getting no where. Every time I call Im told it will definitely be fixed in 5-7 business days. I receive daily phone calls ; emails and texts stating I have a past due credit card bill. Im at a loss and Im sure I will start getting late fees soon on this amount. The situation has actually become harassment as I receive notifications every day about this past due bill. I have excellent credit and dont need it ruined by something like this. I have several credit cards and I have never been through anything like this.",2.0,2.0,"1/1/2023 My account was hacked by an unknown entity and my password was compromised. My credit card was used to make fraudulent purchases in the amount of {$15,000}. I have spent countless hours trying to resolve this issue with your customer service team but have not received any meaningful resolution. The stress and anxiety caused by this incident has taken a significant toll on my mental health and has caused me financial distress. Your actions have shown a complete disregard for my well-being and have left me questioning whether I can trust your bank to protect my personal and financial information.",2.0,3.0,,"[Complaint] I am writing to express my extreme frustration with [bank name] for the multiple issues that I have encountered in regards to my credit card account. Not only was I promised a solution to an issue regarding my annual fee, but I continue to receive notifications and phone calls about a past due bill despite being on hold for over 55 minutes and having the situation transferred to several supervisors without resolution. The constant harassment has caused me significant stress and I am worried about my credit score being negatively impacted. I have had excellent credit all of my life, and [bank name]'s incompetence and lack of attention to detail has put that at risk. This is not acceptable, and I demand immediate action be taken to resolve this issue once and for all.",3.0,2.0,,2.0,3.0,3.0,3.0,2.0,3.0
"I am closing out my business credit card through Wells Fargo and they will not honor my rewards points. I have attempted to redeem them and request product from their rewards website and they cancel my orders. They will not ship me anything they will not honor the rewards. They will not let me to cash out my rewards. They will not answer their phone calls. They will not answer emails anytime I do get connected through a phone call they have me on the phone for anywhere from 45 minutes to 2 hours and then call gets dropped or disconnected. Ive attempted for the last 20 days to handle this and they refuse to cooperate communicate and honor my rewards points that I have earned. I just want to redeem my points get the money and products that I deserved and close the accounts out. I will no longer do business with Wells Fargo ever again, but they should not be allowed to treat customers like this.",2.0,2.0,"Dear Customer Support Team at Wells Fargo,

I am writing to express my extreme frustration with the ongoing issue I have been facing regarding my business credit card rewards points. Despite numerous attempts to redeem them and request products from your rewards website, I have consistently been met with resistance and a complete lack of cooperation from your team.

Not only have I wasted significant amounts of time trying to resolve this issue, but I have also lost out on valuable rewards that I had earned through my patronage of your bank. The fact that you continue to ignore my requests and refuse to honor my rewards points is not only disrespectful, but it also undermines the trust that I once placed in your institution.

I am appalled at the level of service that I have received from Wells Fargo and I demand that this issue be resolved immediately. It is unacceptable for a bank to mistreat its customers in such a manner and I will no longer do business with you ever again.

This is not just an isolated incident, but it is a reflection of the broader problem with customer service at Wells Fargo. Your team's inability to handle simple issues in a timely and effective manner raises serious questions about your ability to provide adequate support to your customers.

I urge you to take this matter seriously and take immediate action to resolve the issue. Failure to do so will result in legal action being taken against Wells Fargo and I will not hesitate to pursue this option if necessary.

Sincerely,
[Your Name]",2.0,3.0,,"I am writing to express my extreme dissatisfaction with the customer service provided by Wells Fargo in connection with my business credit card. I have been attempting for the last 20 days to redeem my rewards points and receive the products and money that I rightfully deserve, but my requests have been met with nothing but obstacles and delays.

Despite my repeated attempts to contact Wells Fargo through their customer service phone lines and emails, I have not been able to receive any assistance or resolution to this issue. The representatives I have spoken with are unresponsive and unwilling to address my concerns, making it impossible for me to resolve this matter in a timely manner.

The severity of this issue cannot be overstated. As a business owner, I rely on my credit card rewards to help me grow and expand my business, and the fact that Wells Fargo will not honor these rewards is nothing short of disgraceful. Not only does this undermine my trust in Wells Fargo as a bank, but it also affects my ability to conduct business and make informed decisions about my financial future.

I demand that Wells Fargo immediately address this issue and provide me with the redemption options I am entitled to under their rewards program. I will not accept any further delays or excuses from them, and I will take legal action if they do not comply with my demands.

In addition to addressing this specific issue, I also urge Wells Fargo to improve its customer service across the board. The tone and attitude of the representatives I have spoken with are abhorrent and unprofessional, and it is clear that the bank's priorities lie elsewhere. If Wells Fargo wants to retain customers like myself and maintain a positive reputation in the financial industry, they must make significant changes to their customer service practices.

I will no longer do business with Wells Fargo and will recommend that others avoid them as well. This is not just about my rewards points – it's about the way that Wells Fargo treats its customers and prioritizes profits over people.",3.0,2.0,,2.0,3.0,3.0,2.0,2.0,3.0
"I hope this message finds you well. I am writing to express my concern and seek immediate resolution regarding an unauthorized charge and the subsequent overdraft fee incurred on my account. 

On XX/XX/2023, I made a payment of {$140.00} to my account with XXXX XXXX XXXX. I promptly realized a mistake had been made and immediately contacted card services via the XXXX support line to request a cancellation of this charge. I was assured that the charge would be reversed. Consequently, I resubmitted the payment on the same day to my correct account at XXXX XXXX XXXX, which was successfully posted on XX/XX/2023. 

However, I was dismayed to discover that on XX/XX/2023, XXXX 's card services attempted to withdraw another {$140.00} from my now inactive account at XXXX XXXX XXXX. This attempt not only was unauthorized but also resulted in an overdraft fee of {$30.00} being debited from my account. 

Upon contacting XXXX 's card services, even after verifying the accuracy of the aforementioned transactions, I was informed that the charge on XX/XX/2023 ( which is not reflected on my account ) was authorized. I want to categorically state that this charge was not authorized by me and has resulted in financial damages amounting to {$30.00} at the time of lodging this complaint. 

Moreover, I am deeply concerned by the comments made by XXXX 's XXXX Services, indicating potential unauthorized attempts in the future. This raises significant security concerns and demands immediate attention. 

I kindly request the following actions to be taken : A thorough investigation into the unauthorized charge dated XX/XX/2023. 
Reversal of the {$30.00} overdraft fee incurred due to the unauthorized charge. 
XXXX that no future unauthorized attempts will be made on my account. 
A written confirmation detailing the resolution of these matters. 

Your immediate attention and swift resolution of this matter are crucial to maintaining the trust and confidence I have in your institution. I appreciate your understanding and cooperation in advance. 

Thank you for taking the time to address my concerns. I look forward to your prompt response and resolution of this matter. 

Sincerely, XXXX XXXX",2.0,2.0,"Dear [Bank],

I am writing in anger and disgust to express my extreme dissatisfaction with the customer service I have received from your bank. On XX/XX/2023, I made a payment of {$140.00} to my account with XXXX XXXX XXXXX. Immediately upon receiving this payment, I was informed that it had been fraudulently charged without my consent.

I contacted your customer service department via the XXXX support line, but I was met with a hostile and unresponsive attitude from the representative who claimed that the charge was authorized. The representative refused to listen to my explanation or provide any details about the transaction. I was left with no choice but to escalate this issue to your bank's fraud department, which only added more frustration and anger to an already difficult situation.

The fraudulent charge has resulted in financial losses amounting to {$140.00}, and it took me several days to get the situation resolved. Despite my repeated attempts to contact customer service, I was met with the same hostile attitude from each representative I spoke with. It is a complete disgrace that your bank allows this kind of behavior towards its customers.

I demand immediate action to be taken against whoever is responsible for this fraudulent charge and the subsequent overdraft fee. I also expect a full refund of my losses and a written apology from your bank. Furthermore, I want to know what measures are being taken to prevent such incidents in the future.

If I do not receive a satisfactory response to this complaint within 72 hours, I will be forced to switch banks immediately. Your bank has lost my trust and loyalty forever. I hope that you take this seriously and act accordingly.

Sincerely,
XXXX",2.0,3.0,,"I am writing to express my absolute rage and demand immediate resolution regarding the fraudulent attempt made against my account by XXXX's card services on XX/XX/2023. I had previously submitted a payment of {$140.00} to my correct account at XXXX XXXX XXXX, which was successfully posted on the same day. However, without prior notice or warning, XXXX's card services attempted to withdraw another {$140.00} from my inactive account at XXXX XXXX XXXX, resulting in a fraudulent overdraft fee of {$30.00} being debited from my account.

Upon contacting XXXX's card services and attempting to resolve the matter, I was met with utter disregard and indifference from their representatives, who refused to acknowledge the unauthorized nature of this charge and instead attempted to shift the blame onto me for the overdraft fee. This is not only a clear violation of my rights as a customer but also an act of gross negligence on the part of XXXX's card services.

I demand that XXXX take immediate action to rectify this situation, including a thorough investigation into the unauthorized charge and the subsequent overdraft fee, as well as a full refund of the {$30.00} unjustly debited from my account. Furthermore, I demand that XXXX take steps to prevent any future fraudulent attempts against my account and provide me with written confirmation detailing the resolution of this matter.

I expect nothing less than a prompt and effective response from XXXX's management team in regards to this matter. Failure to address this issue in a timely and satisfactory manner will result in further action being taken against XXXX, including but not limited to legal action and the termination of my account. I urge XXXX to take this matter seriously and respond accordingly.

Sincerely, XXXX XXXX",3.0,2.0,,2.0,3.0,3.0,2.0,3.0,2.0
"I signed up for the Chase Bonvoy Marriott credit card XX/XX/2023. They were offering a sign on bonus. I was looking forward to getting the points for future stays at your hotels. If I charged {$3000.00} to the credit card in the first 90 days, they would give me XXXX certificates for free nights and one free night yearly. The Marriott credit card never arrived so I was not able to activate it or use it. They billed me {$95.00} for the annual fee immediately upon my signing up for the card and sent me a bill. It was not until I called them and asked where the card was, they informed me that my first bill was past due. I got them to send me a new card and started using it and immediately paid the {$95.00} bill. I charged {$3000.00} in the next XXXX months and waited for my Marriott bonuses to arrive in my Marriott Bonvoy Account. Unfortunately they never did. I then called your customer service and they said to call Chase. Chase said the {$95.00} did not count and therefore I was not eligible to get the sign up bonus as I was just under the {$3000.00} spend. I asked for a special exception as I was so close to the {$3000.00} and they said NO. So I asked for a refund of my {$95.00} and they said they couldn't give me that either. So I asked them to close my account since they did not provide me with the satisfaction and the performance of those terms according to the credit card agreement I then contacted Chase and after a few calls I was told I WOULD get my {$95.00}. After months of not receiving the refund back, I called several more times. The last time I called, I told them I felt like I was getting ghosted. They finally called me back on XXXX  and told me that they will not refund my {$95.00} because I did not close it according to their terms.. They record the calls and they claim the can not find the call of the representative that told me I would get my {$95.00} refund. Since Marriott is promoting this card in all their Marriott locations, I would like Marriott to be part of this compliant also. Both will not refund my {$95.00} which I am due because they did not give me what was agreed upon sign up for the card. Chase is very cutthroat with their customers when you have an issue with their credit card. When you complain they close your complaint out in XXXX days and make a determination in their favor. If you complaint to the XXXX about them. They just respond and say you can't get a refund based on their policy. A representative told me I would get a refund and now even though they record all calls they can not find that particular recording. I want my {$95.00} refund. Their policy not to refund a customer who did not get the satisfaction promised is deceitful and misleading. They do not want to give me what was promised to me a refund of my {$95.00}.",2.0,2.0,"Dear [Customer],

We are sorry to hear about your negative experience with our bank, and we apologize for any inconvenience you may have faced. We understand the frustration and disappointment you must feel after not receiving the sign up bonus that you were promised when you signed up for the Marriott credit card. We take all complaints seriously and strive to provide our customers with the best possible service.

We are sorry to hear that your Marriott credit card never arrived, and we understand how frustrating this must have been for you. We apologize for any confusion or inconvenience this may have caused, and we appreciate your patience as we worked to resolve the issue. We have reviewed your account and have determined that the annual fee was charged immediately upon your signing up for the card, but you did not receive the necessary documentation to activate it. Our team has reached out to you to ensure that you have received the necessary information to activate your card.

We apologize for any further frustration that our previous response may have caused and are committed to making things right. We would like to offer you a full refund of the annual fee that was charged immediately upon your signing up for the card, as well as the sign up bonus that was promised in your account agreement. Additionally, we will be adding an extra $100 to your account to make up for any additional costs that you may have incurred due to this issue.

We take all complaints seriously and are committed to providing our customers with the best possible service. If there is anything else we can do to assist you, please do not hesitate to reach out to us. We hope to have the opportunity to make it right with you.

Best regards,
[Your Name]",2.0,3.0,,"This is a very serious complaint regarding your recent experience with Chase. We apologize for the inconvenience and frustration you have experienced, and we understand how important it is for our customers to receive what they were promised. We want to assure you that we take this matter seriously and will do everything in our power to resolve the issue promptly.

First and foremost, we would like to offer you a full refund of the {$95.00} annual fee that was charged immediately upon your signing up for the Marriott credit card. We understand that this fee did not count towards the sign-on bonus, and we apologize for any confusion caused by our previous communication.

We also want to address the issue with the Marriott Bonvoy Account. We will investigate why you were not able to receive your sign-on bonus, and we will work to ensure that you receive the certificates you are entitled to in accordance with our credit card agreement. We understand that this was a significant disappointment for you, and we will do everything in our power to make it right.

We want to assure you that we take customer satisfaction very seriously, and we apologize for any frustration or inconvenience that you have experienced. We value your business and hope that you continue to use Chase products and services in the future. If you have any further questions or concerns, please do not hesitate to contact us. Thank you for bringing this matter to our attention.",3.0,2.0,,2.0,3.0,2.0,1.0,2.0,2.0
"Made a large check deposit and a hold was placed on check. Check cleared and bank closed account. Asked for a review and provided all documentation of money source and was denied a review after receiving all proof and documents. Spoke with numbers agents who gave different wrong amounts to me as the balance. Said the check was altered from the Department of Treasury, lied and said they were returning the funds to IRS then lied and said waiting for IRS to request funds back and different versions to what was the delay. I asked to have check returned and was denied even after submitted IRS documentation. The IRS says checked cleared and the money is there but bank refuses to give funds to me and closed account without valid reason and did not return ending balance in account. Now Im in danger of losing my business after 3 months of going back and forth and being provided wrong info from each bank representative",2.0,3.0,,,,,,,,,2.0,3.0,2.0,2.0,,
"I received a notice on XX/XX/2023 from XXXX XXXX that my account was going to be closed due to "" Unsatisfactory credit and/or derogatory public record references ''. But they didn't how they determined this. No credit bureau information was listed. 

I have credit scores from all XXXX companies in the high XXXX, and I have never paid a credit card or loan late, so this is a complete shock to me. I tried to call their number but they said I had to do it in writing. So I wrote them a letter. This week it was reported on my XXXX credit report that XXXX had closed my account. But they never bothered to get back to me. 

I got a notice today saying they needed to get in touch with me. So I called the number on the notice, but there was no way to talk to a human being. 

I don't care about my credit card since I don't really use it, but it really disturbs me that they are saying I have bad credit when I don't.",2.0,3.0,,,,,,,,,2.0,3.0,2.0,1.0,1.0,2.0
"Bank of America has charged me a {$12.00} monthly maintenance fee several times incorrectly. I have called in the past and have been able to rescind the fee. However, in XXXX of 2023 it happened again. I called XX/XX/2023 ( spoke with XXXX in Florida and XXXX in North Carolina, 2 bank of America employees ) and explained the fee was charged even though I maintained the daily minimum balance required by the bank to have the fee waived. This is evident in my bank statements. There was no follow-up action or call to my request and query. The fee has been charged once again this month ( XX/XX/2023 ) and I again am awaiting a call back from Bank of America to explain once again why the fee is being charged even though it is clear the conditions for a free checking account are being met.",2.0,2.0,"I am writing to express my extreme frustration with Bank of America's inaccurate and persistent charging of a monthly maintenance fee despite my efforts to dispute it. I have repeatedly called the bank to explain the situation, but my requests for resolution have been met with indifference and no follow-up action. This is not only disrespectful, but also completely unacceptable.

I find it hard to believe that Bank of America cannot accurately keep track of my account balance and consistently charge me a fee for maintaining it when it has been waived based on the bank's own requirements. It is clear that this is not an isolated incident, as I have experienced similar issues in the past. This behavior demonstrates a lack of respect for my time and money, and I will no longer be doing business with Bank of America.

I demand that you immediately rectify this situation and ensure that no further fees are charged to my account until the issue has been resolved. Additionally, I demand that you provide me with a clear and timely explanation for the reason behind these unjustified charges. I will not tolerate any further disrespect or negligence from your company.

Sincerely,
[Your Name]",2.0,3.0,,"Dear valued customer,

We apologize for the continuous inconvenience and frustration you have been experiencing with Bank of America's monthly maintenance fee charges. We understand how frustrating it can be to receive incorrect fees, even after providing evidence that you maintain the daily minimum balance required to waive them.

We want to assure you that we take this matter seriously and are committed to resolving this issue as quickly as possible. Our team is currently investigating this matter and will provide a prompt resolution once the investigation is completed.

In the meantime, we would like to offer our sincerest apologies for any inconvenience this has caused you. We value your business and hope to continue serving you in the future.

Thank you for bringing this matter to our attention.

Sincerely,
[Your Name]",3.0,2.0,,2.0,2.0,2.0,3.0,2.0,3.0
"To Whom It May Concern, I am writing to report an incident of identity theft that has had a significant impact on my life. I believe that the following information constitutes a clear case of identity theft, and I request the Federal Trade Commission 's assistance in resolving this matter. On XX/XX/2023, I became aware of the unauthorized activities and financial transactions on my account from citicards cbna, which I believe to be a result of identity theft. I noticed unapproved credit account in my name, and suspicious monthly payments as well as a incorrect address I never resided in.",2.0,3.0,,,,,,,,,2.0,3.0,2.0,3.0,,
"On XX/XX/2023, I called Citi to report fraud on my credit card. They had sent me messages about potential charges which I was able to catch before they went through. I mentioned on this date by way of phone as well that although they caught most of the fraud charges HOWEVER XXXX total charges for {XXXX for "" XXXX XXXX XXXX XXXXXXXX XXXX  '' ( so XXXX total ) were pending. They said "" don't worry about it, it will drop off ''. On XX/XX/XXXX I called to let them know that these charges did NOT drop off but posted. They started a fraud dispute. 

On XX/XX/XXXX, Citi requested I sign XXXX sheets of paper which I sent back by way of email to XXXX on XX/XX/XXXX for the XXXX charges. See attached for the exact XXXX sheets of paper i sent back. ( This likely confused Citi because they stupidly asked for the same EXACT paper to be signed twice with the same exact dispute number which was XXXX, don't you think since it was XXXX transactions I would need to sign XXXX different pieces of paper with different numbers? ). 

On XX/XX/XXXX, I took a screenshot of the dispute portal because it switched to "" Thanks for sending us more info '' for XXXX fraud charge, while for the other fraud charge still stated "" We need more info ''. See screenshot XXXX! 

Thinking that was weird, that XXXX charge moved to "" Thanks for sending us more info '' and the other didn't, I resent the XXXX sheets of paper a XXXX time on XX/XX/XXXX. 

Today XX/XX/XXXX, I noticed that Citi reversed the fraud credit for XXXX fraudulent charges while issuing a credit for the other one. On XX/XX/XXXX I called with an attempt to get this resolved and was transferred at LEAST XXXX  times with no direct success. As of today there is still a reversed XXXX  bill on my XXXX  card ( the other credit for the other charge was successful ).",2.0,3.0,,,,,,,,,2.0,3.0,,,2.0,2.0
