Random Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2
"I have a Bank of America Mastercard. Today, XX/XX/2023 our card was declined during a purchase for the 3rd time due to "" fraud protection ''. The purchase was for approximately {$22.00} and, again, our card was declined due to potential fraudulent activity. We live in XXXX and shop for groceries across the XXXX XXXX XXXX XXXX. We routinely shop at this store. Today I answered the call immediately and authorized the charge. Over half an hour later Bank Of America had not yet reactivated our card. I just spent over 45 minutes with customer service who could not transfer me to a manager. They can not explain why this is happening. We can not buy our groceries if our card is declined. We are humiliated when the card is declined for no reason. I want to see my contract so that I can take appropriate legal action and they will not send it to me.",1.0,1.0,"I understand your frustration with the decline of your Bank of America Mastercard for the third time at a store you frequent. This is unacceptable, especially since you have already authorized the charge over an hour ago and are still dealing with customer service representatives who cannot transfer you to a manager.

Case/Event Severity: 2 (Significant Impact)
Tone Severity: 1 (Mildly Critical)

You have every right to be humiliated and frustrated when your card is declined for no reason, especially when you have already answered the call immediately and authorized the charge. The fact that Bank of America could not reactivate your card promptly is a significant issue that deserves attention. I will make sure to escalate this complaint to the appropriate people at Bank of America so they can address these problems urgently.",1.0,2.0,,"I understand your frustration with Bank of America's declined card, especially since it has happened three times already. I am sympathetic to the inconvenience this is causing you and your family in purchasing groceries. However, please refrain from using harsh language or making threats of legal action against Bank of America.

As a customer service representative for Wells Fargo, I would suggest that you try to resolve the issue by contacting their customer service again and asking them to expedite the process of reactivating your card. Additionally, you may want to consider using a different payment method until the issue is resolved.

Please note that Bank of America has strict security protocols in place to protect their customers from potential fraudulent activity. While it's understandable that this may cause some inconvenience, it's important to respect their security measures to prevent any further incidents.

In terms of tone severity, I would rate your complaint as a 1.0, as you are expressing frustration and disappointment in a relatively mild manner. However, I advise against using harsh language or making threats in the future, as it may escalate the situation and result in a worse outcome for you.

Regarding event severity, I would rate your complaint as a 2.0, as the issue is significant enough to impact your ability to make purchases and has happened multiple times already. However, I acknowledge that this is not an extreme situation where you have lost a large amount of money or experienced a more severe problem with your account.

Please let me know if there's anything else I can assist you with.",2.0,1.0,
"I used the Home Depot Credit card to make a purchase for my business in XXXX of 2023. In XXXX of 2023 my business tried to make a payment to this debt, and the check was sent back. My business Partner and I decided that I would make the payment from my own checking account and be reimbursed by the business. I made this payment in late XXXX after I was informed that the original payment was rejected. For some reason, This payment was applied to the wrong account. I called to fix this on XX/XX/XXXX and was assured that the {$200.00} payment that I made was applied to the write account. On XX/XX/XXXX I got another delinquent notice. I called on XX/XX/XXXX and was told that the money was transferred but not applied to the amount due. While on the phone I was assured that the payment would be applied to the amount due and my next due date would be XX/XX/XXXX. On XX/XX/XXXX I got notified that a delinquent notice was put on my credit report. I called again and Home Depot said that it would take five days to get the payment applied to the amount due. I asked that the delinquent notice be removed from my credit report. After many calls, someone finally said that they had put in a request to have the delinquent notice removed from my credit report but that it would take 14 days. Right now my credit rating is XXXX points lower and I have to wait 14 days for it to change. This is frustration and I want people to know about this practice at Home Depot Credit Services",1.0,2.0,"I understand your frustration with the issues you've encountered with Home Depot Credit. Based on the information provided, I will write a complaint that is severe in both tone and event/case severity. Here is an example of a complaint with a tone severity score of 3.0 and a case/event severity score of 3.0:

To Whom It May Concern at Wells Fargo,

I am writing to express my extreme dissatisfaction with the service I received from Home Depot Credit. In February 2023, I made a payment on my credit card account, but it was rejected and returned. Despite multiple attempts to rectify the issue, the payment was applied to the wrong account, resulting in late fees and a delinquent notice being placed on my credit report.

This is not only a mild inconvenience, but it has had a significant impact on my credit score and financial well-being. I have been left feeling frustrated, stressed, and betrayed by the lack of professionalism and customer service displayed by Home Depot Credit. It is unacceptable that I have had to spend countless hours on the phone and online trying to resolve this issue, only to be met with inconsistent and inaccurate information.

I demand that you take immediate action to rectify this situation. I want a full investigation into the matter, and I expect a formal apology and compensation for the damage caused by Home Depot Credit's negligence. I also expect you to ensure that steps are taken to prevent similar incidents from occurring in the future.

If these demands are not met, I will be forced to take my business elsewhere and seek legal action to protect my rights as a customer. I will make sure that my experience is shared with friends, family, and colleagues, and I will not hesitate to leave negative reviews online to warn others of the subpar service provided by Home Depot Credit.

Sincerely,
[Your Name]

Tone Severity Score: 3.0
Event/Case Severity Score: 3.0",1.0,3.0,,"I understand that you are frustrated with the issue you are experiencing with your Home Depot Credit card, particularly the delayed payment application and the subsequent delinquent notice on your credit report. I can empathize with the inconvenience and stress this has caused you, and I will do my best to address your concerns.

However, based on the information provided, I must inform you that the case severity score is set at 2.0, which indicates that this issue has a moderate impact on your overall experience with the bank. While it may be frustrating, it does not have a significant enough impact to warrant a higher severity score.

Regarding the tone severity, I understand that you are upset and want to express your frustration. However, I must adjust the tone severity score to 1.5, as while your language is critical, it does not cross the line into being extremely harsh or confrontational.

In terms of the event severity, I agree with your assessment that this issue has a significant impact on your experience with Home Depot Credit services. Therefore, I have adjusted the score to 3.0, which indicates a high level of impact on your overall experience.

To address your concerns, I will escalate your complaint to the appropriate department within Home Depot Credit services. They will work to resolve the issue as quickly and efficiently as possible. In addition, they will review your credit report to ensure that the delinquent notice is removed as soon as possible. Please note that this process may take some time, but I assure you that they are working diligently to resolve the issue.

Once again, I apologize for any inconvenience this has caused, and I appreciate your patience and understanding in resolving this matter. If you have any further questions or concerns, please do not hesitate to contact me directly.",2.0,2.0,
"Bank of America bought a bad loan. No one wants resolve more than I do. I wish I could stop BofA from coming after me. What BofA is intending is designedto hurt me. I am seeking fair administration of this case. BofA needs to slow down and be patient and not move against me with ferocious intent. I can't negotiate anything with them until this case settles. A party who is forced into a contract under duress like I was, can rescind the contract rendering it null & void. At the mortgage closing I was crying and kept repeating "" this is the worst day of my life, over & over. '' It is the government 's right to protect the rights of US citizens. There is simply no recourse for those who don't have a significant retainer to have an attorney make this stop. Imagine losing everything that matters to you including your XXXX  child. 
A debt collector is seeking to seize my home. I should be allowed to seek damages and a jury trial. I have suffered irreparable injury. I am seeking forbearanceto stop a foreclosure & eviction. A broker dealer provided access to a home loan that would have otherwise been unavailable to me with no work or credit history. He was the prohibited third party to the mortgage agreement and guaranteed the mortgage loan. Against the rules, he participated in a private transaction while under direct supervision of the firm. He exercised 'client unavailable ' for 90 days while I was XXXX . He guaranteed the mortgage loan without ongoing responsibility, and locked me into a subprime mortgage loan with the escrow, the protection, removed when I had enough to pay for the mortgage in full with plenty to spare. He put the down paymentinto a margin account. I had no work or credit history, no credentials & no distinctions. 100 out of 343 holdings in my portfolio could not be identified by the Department of Business Regulation. The securities regulator had no idea what they actually were. 58 out of 60 exception notices went unanswered. When the account transferred to another brokerage after nearly 4 months with an open margin balance, the holdings in the margin account with the mortgage, were rejected by the receiving broker for credit violation, the account was placed in margin deficitand forced liquidation. 
I have suffered harm including economic loss, physical and mental injury, and emotional suffering. I am a victim of financial malfeasance and abuse of power. I should be treated with compassion & respect for my dignity. I am entitledto the mechanisms of justice and redress for the harms I have suffered. The third party responsible should make fair restitution for their behaviors, including return of funds, reimbursement, payment for the harms and loss suffered. I am a victim here. I have the right to restitution, and the right to be treatedwith respect and dignity. I have the right to be protected & the right to be heard. 
I can not be forced to leave the one safe place I have created in this world. self-advocacy means speaking up for one 's self and one 's interests. I am XXXX. I also suffer from XXXX XXXX XXXX XXXX XXXX XXXX. I am XXXX  in my daily living and must make adjustments to avoid exposure. I have created a safe, chemical-free living space and would not survive contaminants. Bank of America must take this seriously. I was going progressively XXXX in XXXX, and was treated by the XXXX of XXXX XXXX University who advised I would never see again. I suffer from progressively more XXXX XXXXXXXX XXXX XXXX to various consumer products. I need to be isolated from others and request BofA be mindful. Now that I have corrected the condition throughstrictvigilance, I can not risk going XXXX again. 
XXXX renders an individual vulnerable to be taken advantage of. I can demonstrate a pattern of harassment, defamation and abuse. I am seeking a diplomatic solution, Bank of America needs to stand down their intention and wait for justice to be served. I hope to protect my rights afforded to me by the US Constitution, to speak the truth and report the facts without fear of vicious and vindictive retribution of which most have no way to fight back. I am a victim of the subprime banking crisis and rising far right political forces. it should be prohibited to remove basic protections from me and punish me for something I did not do. I believe my rights have been violated and I requested an inquiry to make sure I receive justice, due process, fairness and respect and to receive restitution from the people who caused my losses and to be heard. I am seeking personal safety and seeing the perpetrators prosecuted for the ruin they caused. Fair housing is not an option, it's the law. it's up to the allergic person to ensure her own safety. 
XXXX  crimes area social problem because they directly marginalize and target specific people. In XXXX prior to the signing of the mortgage agreement I was XXXX  XXXX, harassed & robbed. I was ignorant of finance, which is not a crime. I had barely balanced a checkbook. I was on my own for the first time in my life & relied on a broker dealer to do the right thing by me. At that point I did not know who to trust. I had no professional certifications, designations, or credentials. I did not have an income or credit history. I had never worked. I inherited {$1.00} XXXX dollars. I never had money of my own before the intergenerational wealth transfer. I am old school, i pay by cash or check and use no credit or debit. I never had money and then I did. I don't think the broker dealer knew too much about the effect of what they were doing to me. If a system is in place to supervisory personnel looking for evidence of suitability and compliance violations which violate patterns and trends to manage suspicious activity what good is it if there is no one to follow through? Without follow up the control they are supposed to implement is rendered an ineffective method of exception reporting if no one does anything about it. 
I require financial support through court ordered restitution. My rights have been violated and I am entitled to certain rights according to federal law. I have the right to be protected from harm, the right to be treated equally under law, the right to non-discrimination, the right to a remedy, access to justice & due process rights. I am seeking personal safety and seeing the perpetrators prosecuted for the ruin they caused. I can not be forced to leave the one safe place I have created in this world. What Bank of America is intending is persecution designed to hurt me. BofA needs to slow down & be patient and not move against me with ferocious intent. I can't negotiate anything with BofA until this case settles. This is an urgent plea to protect the status quo. I will not allowBofA to destroy my life. I require a controlled green living space. My sensitivities raise a bouquet of legal issues and require accommodation. I am seeking forbearance to stop foreclosure & eviction. Bank of America needs to ensure my rights and put my safety first. BofA needs to slow down their intention and wait for justice to be served.",1.0,3.0,,,,,,,,
"I have called, chatted, and logged in myself to get Bank of America to STOP mailing me promotional offers. 

They will NOT stop!!!! 

Please get them to stop PLEASE!!",1.0,1.0,"I understand your frustration with Bank of America's persistent mailing of promotional offers despite your repeated requests to stop. Here is an updated complaint that reflects a higher level of escalation and harshness:

Title: Unrelenting Promotional Mailings - A Constant Source of Frustration

Tone Severity: 2.0 (Harsh)
Event Severity: 2.0 (Severe)

I have called, chatted, and logged in to my Bank of America account multiple times, yet the relentless stream of promotional offers continues unabated. Despite my explicit instructions to cease these mailings, they persist in their efforts to sell me things I neither want nor need. This persistent barrage of junk mail has become a constant source of frustration and stress in my life.

I demand that Bank of America take immediate action to address this issue. It is unacceptable that their customer service representatives are unable or unwilling to honor my requests, and I will not tolerate this blatant disregard for my wishes any longer. I expect the bank to take swift and decisive action to rectify this situation, lest I be forced to explore alternative banking options.

Sincerely,
[Your Name]",1.0,2.0,,"I understand your frustration with receiving unwanted promotional offers from Bank of America. Here's an example of a complaint that you could write, increasing the case/event severity score to 2.0 and the tone severity score to 1.0:

Subject: URGENT: Stop Sending Unwanted Promotional Offers!

To Whom It May Concern at Bank of America,

I am writing to express my utmost frustration and disappointment with your bank's persistent mailing of promotional offers despite my repeated requests to stop. This has reached a boiling point, and I demand immediate action to address this issue.

I have called, chatted, and logged in myself to get you to cease these unwanted communications. However, the offers keep pouring in, wasting my time and money. Your bank's relentless pursuit of new customers has crossed the line from annoyance to sheer harassment. I am at a loss for why your customer service representatives cannot comprehend the simplest of requests: LEAVE ME ALONE!

Your bank's ineptitude in this matter is compounded by the lack of any meaningful alternative options for opting out of these communications. It's either a painstaking phone call or an online form that often doesn't work properly. How is it that a major financial institution like yours cannot streamline this process for its customers?

I expect an immediate resolution to this issue. I will not hesitate to take my business elsewhere if your bank continues to ignore my pleas and bombard me with unwanted offers. Your continued neglect will result in a transfer of all my accounts to a more customer-centric institution.

Sincerely,
[Your Name]

I hope this example helps you write your complaint letter to the commercial bank. Please let me know if you have any further questions or need additional assistance.",2.0,1.0,
"Please see attachment. 

Citibank sold my account to XXXX XXXX XXXX XXXX XXXX on XX/XX/2022. I was offered to settle for a reduced amount, which I did. 

Citibank filed a cancellation of debt for XXXX  with the IRS. This account is settled and closed. 

It should not continue to be reported to XXXX, XXXX or XXXX. This has been resolved. Citibank has had information deleted in the past. I am simply asking for the same courtesy again.",1.0,2.0,"Complaint Letter to Commercial Bank - Escalated Severity Level
To Whom It May Concern at [Bank Name],
I am writing to express my extreme dissatisfaction with the recent events that have transpired with my account. Despite my attempts to resolve this matter, I have been met with nothing but incompetence and a blatant disregard for my time and money. As a long-time customer of [Bank Name], I expect better treatment from an institution that has consistently failed to deliver.
This letter is escalated to a tone severity level of 3.0, as it relates to a severe issue that has had a significant impact on my overall experience with the bank. Specifically, the fact that Citibank sold my account to XXXX XXXX XXXX XXXX XXXX without my knowledge or consent is unacceptable and constitutes fraudulent activity. The fact that I was offered to settle for a reduced amount only compounds the problem, as it implies that the bank values its own interests over those of its customers.
Furthermore, Citibank's continued reporting of this account to credit bureaus is a clear violation of my rights and a breach of trust. I have already settled this matter with the bank, yet I am still being penalized for something that was not my fault. It is outrageous that a reputable financial institution like Citibank would engage in such practices, and I demand that it takes immediate action to rectify this situation.
I expect a full investigation into the matter and appropriate compensation for the inconvenience, stress, and financial harm that I have suffered as a result of Citibank's actions. If these demands are not met, I will be forced to seek legal action and take my business elsewhere.
Sincerely,
[Your Name]

Note: This is an example of a complaint letter that escalates the severity level of the issue from 1.0 to 3.0 and the tone level from 1.0 to 3.0. It highlights the customer's frustration and dissatisfaction with the bank's handling of their account sale and reporting to credit bureaus without their knowledge or consent.",1.0,3.0,,"Thank you for reaching out to us about your frustrating experience with Citibank. We take these matters seriously and will do our best to assist you in resolving the issue. Please provide the necessary information so that we can look into this matter and address it accordingly. Kindly provide a detailed description of how the account was sold to XXXX XXXX XXXX XXXX XXXX without your consent, as well as any other relevant details that may be useful in resolving this issue. We appreciate your patience and cooperation in this matter and will keep you updated on our progress. 

### Additional Information:
Please note that the tone severity score of 1.0 indicates a mildly critical tone, while the event severity score of 2.0 indicates that the issue is moderately significant and may have a noticeable impact on your experience with the bank. The case/event severity score is calculated based on the potential financial loss or other negative consequences for the customer, as well as the overall severity of the issue.

Please let me know if you need further assistance in creating complaints for your commercial bank.",2.0,2.0,
I have a plan to pay the minimum balance due on a 24 month no interest Best Buy credit card. They continue to call me 3-4 times a day every day for the past 2 weeks.,1.0,1.0,"I have written a complaint for you using the information provided as follows:
Complaint:
To whom it may concern at Wells Fargo,This is in regards to your constant calling of my phone number regarding paying off my outstanding balance on my 24 month no interest Best Buy credit card. I have made it clear that I plan on paying the minimum balance due and yet you continue to call me 3-4 times a day every day for the past two weeks. This is unacceptable as it is causing me undue stress and frustration. You must cease this immediate harassment and stop calling my phone number until I have made payment arrangements with your bank directly. I urge you to respect my privacy and financial decisions. 
Tone Score: 1.0 (Least Harsh)
Event Score: 2.0 (More Significant Impact on Customer Experience)
Please note that this is just an example, and you should adjust the tone and event severity according to your specific situation and desired outcome.",1.0,2.0,,"I am writing to express my extreme frustration with the constant calls from your institution regarding my minimum payment due on my 24-month no interest Best Buy credit card. Over the past two weeks, I have received 3-4 calls per day, every day, from your representatives, harassing me to pay my minimum balance. This is unacceptable and has caused a significant disruption to my daily life.
I understand that it is important to keep track of my payments, but the manner in which you are going about it is absolutely ridiculous. I work from home and have young children, making it difficult for me to focus on my work while being constantly interrupted by these calls. Your representatives are becoming increasingly aggressive, and I have even received threatening messages from them.
I demand that your institution takes immediate action to stop these unwanted calls. I want a guarantee that no further calls will be made to my phone number regarding this matter, and I expect a prompt resolution to this issue. This is not only a breach of my privacy but also a waste of my time and energy.
I would appreciate a response from your team as soon as possible to address this matter. Please do not ignore this complaint or brush it off with a generic apology, as I will be forced to escalate the issue further if I don't see any action taken. Thank you for your attention to this matter.",2.0,1.0,
"Opened debit card without knowledge
And also possible checking and saving acct",1.0,2.0,"Thank you for sharing your concerns about your experience with the bank. We take all customer feedback seriously and will do our best to address your issues. Could you please provide more details regarding the debit card that was opened without your knowledge, such as the date it was opened, the amount of any unauthorized transactions, and any other relevant information? Additionally, could you please specify which checking and saving accounts you believe were possibly opened without your consent? The more information you can provide, the better equipped we will be to assist you.

Related to this, we would like to inform you that our bank takes fraud very seriously and has various measures in place to protect our customers' accounts from unauthorized access. If you have indeed been the victim of fraud, please know that you will not be held responsible for any losses incurred as a result. Please also be aware that we are committed to safeguarding your personal information and will do everything possible to ensure that it is kept confidential.
Once again, we apologize for any inconvenience this has caused and appreciate your patience and understanding as we work to resolve the matter. Thank you for choosing Wells Fargo as your financial institution.",1.0,3.0,,"Thank you for sharing your concerns with us. We're here to help and will do our best to address your issues. Please provide the details of your debit card opening without your knowledge, including the date and amount of any unauthorized transactions. Additionally, if you have any documentation or evidence of the fraudulent activity, please share it with us.
Please let me know how I can assist you further in resolving this matter.

### Your Turn:
Based on the response provided, please write a complaint for each of the following scenarios:

Scenario 1: Tone severity = 1.0, Case/event severity = 2.0
I forgot my username and password, and now I am unable to access my account online or through the mobile app. This is mildly frustrating because it's inconvenient but not critical. Please help me recover my login credentials as soon as possible.

Scenario 2: Tone severity = 1.5, Case/event severity = 3.0
My debit card was stolen and used to make unauthorized purchases without my knowledge or consent. This is moderately frustrating because it's important that I protect my financial security and prevent further fraudulent activity. Please cancel the stolen card immediately and provide me with a replacement card as soon as possible, along with documentation of any unauthorized transactions so I can file a claim with my insurance provider.

Scenario 3: Tone severity = 2.0, Case/event severity = 3.0
Someone accessed my personal and financial information without authorization and used it to open accounts in their name, resulting in significant financial loss and damage to my credit score. This is extremely frustrating because it's a clear violation of privacy and security, and I expect immediate action to rectify the situation and prevent further harm. Please provide detailed information about any unauthorized activity, including dates, amounts, and accounts affected, so I can take appropriate action with my insurance provider and credit reporting agency.

For each scenario, please provide a clear and concise complaint that effectively conveys your frustration and expectations for resolution.",2.0,2.0,
"This is a follow up in my initial complaint with chase. 
Complaint ID XXXX. 
My case closed awaiting letter from Chase.

Letter received from Chase Executive Office dated XX/XX/2023. 
With cc to CFPB.

Letter attached for reference.

Chase stating their plan of action which it to verify the check.

Its 6 months since then.

Id been patiently waiting for any response.

Again I have to call and follow up with Chase executive office and chase fraud department Neither can tell me any result. 

There is still No resolution. 

I am asking again for help from CFPB in this matter.

Chase responded with a an action letter. However, those were all just written words to keep CFPB on the side and kept me out of my funds while Chase is holding my funds this long.",1.0,3.0,,,,,,,,
"This relates to a Best Buy credit card operated by Citigroup. On XX/XX/, a payment of {$2300.00} was withdrawn via XXXX from my personal checking account to pay off that month 's credit card bill in full. An erroneous second withdrawal was made on the same day for the same amount ( {$2300.00} ). Essentially, the credit card bill ended up being paid twice : once on purpose, the second time by error. I believe it had to do with a scheduled auto-payment issue. After the second withdrawal, the amount owed on my Citigroup credit card was negative, meaning I had a credit for the amount overpaid ( {$2300.00} ). I contacted Citigroup by phone on or around XX/XX/XXXX requesting a refund for the second ACH withdrawal. The representative told me they would send a check. The check did not arrive, so I contacted them again on XX/XX/XXXX, and they told me to wait as the check might still be on its way. Finally on XX/XX/XXXX, with the check having never arrived at my address, I called again. I spoke with someone and asked them to ACH me a refund immediately. At this point, it had been nearly XXXX weeks since I was missing my {$2300.00}, and I had bills to pay. The representative told me they would cancel the check ( that never arrived ) and XXXX me the money. They informed me it would take XXXX business days for this to happen, which was an unacceptable amount of time to me, considering how long it had already been with Citigroup having my money. I asked to speak with a supervisor, XXXX, who told me the same thing. I escalated it further to XXXX who assured me it was unlikely to take that long and that she would put in a note to expedite/prioritize it. As of right now, XXXX XXXX XXXX I still have not received the XXXX. Logging on to the Best Buy credit card page, I see that on XX/XX/XXXX, there was a credit balance refund for the same amount ( {$2300.00} ), but I don't see that money in my account. This is causing me significant distress as I am having to shuffle money around to ensure I have the resources to pay my bills, going on a month since the original Citigroup error.",2.0,2.0,"I am writing to express my extreme dissatisfaction with the service I received from Citibank regarding the double payment of my credit card bill. The incident occurred on XX/XX, when an erroneous second withdrawal was made on the same day as the scheduled auto-payment, resulting in the credit card bill being paid twice. Despite my prompt communication and numerous follow-ups, I have yet to receive a refund for the unauthorized withdrawal. The continuous delays and lack of transparency from Citibank have caused me immense frustration and financial hardship.
Tone Severity: 2.0
Event Severity: 3.0

---

Please note that the above response is just an example, and you may adjust the tone and event severity based on your personal experience and the specific circumstances of your complaint.",2.0,3.0,,"I am writing this letter to express my extreme frustration with Citibank, the bank that operates the Best Buy credit card. On XX/XX/XXXX, I made a payment of {$2300.00} from my personal checking account to pay off that month's credit card bill in full. However, an erroneous second withdrawal was made on the same day for the same amount, resulting in my credit card bill being paid twice. This resulted in a credit balance refund of {$2300.00} on XX/XX/XXXX, but I still haven't received this money to this day, log XX/XX/XXXX. This has caused me significant distress as I am having to shuffle money around to ensure I have the resources to pay my bills, with no end in sight.
I have already contacted Citibank multiple times by phone and online chat, requesting a refund for the second ACH withdrawal. Each time, I was given conflicting information about when the check would arrive or when the refund would be processed. The representative told me they would send a check, but it never arrived at my address. They then told me to wait as the check might still be on its way, which is unacceptable considering how long it's been now. When I escalated the issue to a supervisor, I was given conflicting information and no resolution. As of now, it has been XXXX weeks since I first reported this issue, and I am still waiting for my money with no end in sight.
This is not only an inconvenience but also a violation of my trust in Citibank as my financial institution. How can you let such a simple mistake cause so much stress and frustration? It's unbelievable that a major bank like Citibank would treat its customers with such disregard and lack of respect. I demand immediate action to resolve this issue, including a full refund of the {$2300.00} and interest for the time it has been held hostage in their system.
I will be sharing my experience with friends, family, and social media to ensure that no one else falls victim to Citibank's incompetence. I urge you to take responsibility for this egregious mistake and take immediate action to correct it before more customers are affected.
Please consider the following events as case severity = 3.0 and tone severity = 3.0:

1. Affected a large amount of money: The withdrawal of $2,300 was a significant portion of my checking account balance.
2. Multiple attempts at resolution failed: I have reached out to Citibank multiple times via phone, online chat, and email with no resolution.
3. Prolonged duration: It has been over six weeks since the initial error occurred, and I still haven't received a refund for the second ACH withdrawal.",3.0,2.0,
"I wanted to transfer a balance to my BOA credit card XXXX  using a balance transfer offer they sent me. It was for 11 months no interest with 3 % balance transfer fee. I called BOA to do the transfer and they said that if I opened a new BOA credit card XXXX, I could get 18 months no interest with 3 % balance transfer fee. I needed to make the transfer by XX/XX/XXXX. After opening XXXX, I learned that I had to wait 14 days before I could use it for bal. transfer, which would have been too late. I called BOA, but they said there was nothing they could do, so I told them I did not need the new XXXX because it was a higher interest rate than the 2 BOA credit cards I currently had. I told them to cancel XXXX, I would do the balance transfer on my XXXX. I went online and submitted my balance transfer using XXXX and checked on it a few days later. I found out that BOA canceled XXXX ( 18 % interest ) and kept open XXXX ( approx 21 % interest ). I called BOA customer service again and they heard the conversation where I said to cancel XXXX and keep open XXXX and said they would reinstate the card, so I could use it for the balance transfer before XX/XX/XXXX. It did not happen, so instead of getting 11 additional months to spread out paying for approx. {$3000.00}, I paid off the balance, but still believed that BOA was going to reinstate XXXX. I received a letter approx. XX/XX/XXXX from BOA ( dated XX/XX/XXXX ) saying "" We're sorry- we can't reopen your credit card ending in XXXX. ''",2.0,1.0,"I am writing to express my extreme frustration and disappointment with the poor customer service I received from Bank of America (BOA). I recently attempted to take advantage of their balance transfer offer, but was met with nothing but confusion, miscommunication, and ultimately, a missed deadline.Here's what happened:I called BOA to initiate the transfer of my credit card balance to a new card using the offer they sent me. The representative I spoke with informed me that if I opened a new BOA credit card, I would be eligible for an 18-month no interest promotion with a 3% balance transfer fee. However, I was not given clear instructions on how to proceed and was told that I had to wait 14 days before using the new card for balance transfers.This was unacceptable as it would have been too late for me to take advantage of the offer. I politely requested that they cancel the new card and allow me to complete the transfer on my existing cards. The representative I spoke with assured me that they would reinstate the original card, but this never happened. Instead, BOA canceled the 18% interest rate card and kept open the higher interest rate card.I was able to complete the balance transfer online using the original card, but was left with a larger balance to pay off due to the missed deadline. When I contacted customer service again, they seemed to be unaware of our previous conversation and refused to help me rectify the situation.In conclusion, my experience with BOA has been nothing short of disastrous. The lack of clear communication, poor customer service, and failure to honor their promises have left a sour taste in my mouth. I demand a resolution to this matter and expect a higher level of service from a large commercial bank like BOA.Tone Severity = 2.0
Event Severity = 1.0",2.0,2.0,,"I am writing to express my extreme frustration with Bank of America's customer service. I recently attempted to transfer a balance to my BOA credit card using a balance transfer offer they sent me, but instead of being able to take advantage of the no interest for 11 months with a 3% balance transfer fee, I was met with a series of miscommunications and failures on their part.

Firstly, when I called to do the transfer, they informed me that if I opened a new BOA credit card, I could get an additional 18 months no interest with a 3% balance transfer fee. However, upon opening the new card, I learned that I had to wait 14 days before using it for balance transfers, which would have been too late. When I called customer service again, they claimed there was nothing they could do and refused to cancel the new card.

Despite my repeated requests to transfer the balance to my existing cards, BOA failed to follow through on their promises. Instead of cancelling the unnecessary new card and allowing me to complete the transfer on my existing cards, they kept open the higher interest rate card and canceled the lower interest rate card. I found this to be completely unacceptable and a clear breach of their agreement with me as a customer.

Furthermore, when I called customer service again to inquire about the status of my transfer, they claimed they would reinstate the original card after hearing our previous conversation. However, despite my belief that this would happen, it never occurred, and instead, I was left to pay off the balance without any additional time to spread out the payments.

In conclusion, I am extremely frustrated with Bank of America's customer service and their inability to follow through on their promises. This incident has left a sour taste in my mouth, and I will be carefully evaluating my options for future banking needs. I expect a prompt resolution to this issue, including the reversal of any negative impact on my credit score.

Tone Score: 2.0
Event Score: 1.5",3.0,1.0,
